customer_id,age,income_band,customer_segment,occupation,city,kyc_risk_rating,transaction_date,amount,category,channel,balance_after,premium_amount,start_date,end_date,status,transaction_date_year,transaction_date_month,transaction_date_day,transaction_date_weekday,start_date_year,start_date_month,start_date_day,start_date_weekday,end_date_year,end_date_month,end_date_day,end_date_weekday,product_type
5,38.0,High,Gold,"Programmer, Applications",Siaya,Low,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,1371.0,2022-07-07 00:00:00.000000000,2026-06-19 00:00:00.000000000,Active,2025,3,15,5,2022,7,7,3,2026,6,19,4,Education
5,38.0,High,Gold,"Programmer, Applications",Siaya,Low,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2022-07-24 00:00:00.000000000,2029-03-15 00:00:00.000000000,Active,2025,3,15,5,2022,7,24,6,2029,3,15,3,Education
6,47.0,Low,Gold,Translator,Thika Road,Low,2025-12-07 00:00:00.000000000,148121.0,Bills,Internet Banking,196032.0,1593.0,2022-08-06 00:00:00.000000000,2027-06-13 00:00:00.000000000,Active,2025,12,7,6,2022,8,6,5,2027,6,13,6,Education
6,47.0,Medium,Gold,Translator,Thika Road,Low,2025-12-07 00:00:00.000000000,148121.0,Bills,Internet Banking,196032.0,7611.0,2023-09-16 00:00:00.000000000,2027-10-27 00:00:00.000000000,Active,2025,12,7,6,2023,9,16,5,2027,10,27,2,Education
6,47.0,Medium,Gold,Translator,Thika Road,Low,2025-12-07 00:00:00.000000000,148121.0,Bills,Internet Banking,196032.0,271.0,2024-03-09 00:00:00.000000000,2027-09-10 00:00:00.000000000,Lapsed,2025,12,7,6,2024,3,9,5,2027,9,10,4,Education
7,47.0,Medium,Go Banking,Adult Nurse,Kitale,Low,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,3,15,5,2023,9,15,4,2027,9,19,6,Education
8,47.0,High,SME,Chief Technology Officer,Embu,Low,2025-01-10 00:00:00.000000000,206461.0,Travel,Internet Banking,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,1,10,4,2023,9,15,4,2027,9,19,6,Education
9,47.0,Low,Platinum,Ergonomist,Kisumu,Low,2025-04-11 00:00:00.000000000,148121.0,School Fees,Ussd,614481.0,7611.0,2023-06-02 00:00:00.000000000,2028-05-21 00:00:00.000000000,Pending,2025,4,11,4,2023,6,2,4,2028,5,21,6,Education
10,47.0,Medium,Platinum,Acupuncturist,Nakuru,Low,2024-10-05 00:00:00.000000000,252258.0,Electronics,App,500031.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2024,10,5,5,2023,9,15,4,2027,9,19,6,Education
10,47.0,Medium,Platinum,Acupuncturist,Nakuru,Low,2025-12-09 00:00:00.000000000,133095.0,Personal,App,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,12,9,1,2023,9,15,4,2027,9,19,6,Education
11,47.0,Medium,Gold,Dramatherapist,Thika,Low,2025-05-27 00:00:00.000000000,148121.0,Electronics,App,406233.0,7611.0,2025-02-20 00:00:00.000000000,2026-09-23 00:00:00.000000000,Pending,2025,5,27,1,2025,2,20,3,2026,9,23,2,Education
12,47.0,Low,SME,Forensic Scientist,Homa Bay,Low,2025-04-07 00:00:00.000000000,148121.0,Personal,Ussd,406233.0,7611.0,2023-03-10 00:00:00.000000000,2028-01-27 00:00:00.000000000,Active,2025,4,7,0,2023,3,10,4,2028,1,27,3,Education
12,47.0,High,SME,Forensic Scientist,Homa Bay,Low,2025-04-16 00:00:00.000000000,148121.0,Personal,App,656655.0,7611.0,2023-03-10 00:00:00.000000000,2028-01-27 00:00:00.000000000,Active,2025,4,16,2,2023,3,10,4,2028,1,27,3,Education
13,47.0,High,Platinum,Aeronautical Engineer,Kwale,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2022-11-19 00:00:00.000000000,2027-10-09 00:00:00.000000000,Active,2025,3,15,5,2022,11,19,5,2027,10,9,5,Education
13,47.0,Low,Platinum,Aeronautical Engineer,Kwale,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-12-12 00:00:00.000000000,2027-04-28 00:00:00.000000000,Active,2025,3,15,5,2023,12,12,1,2027,4,28,2,Education
14,47.0,Low,SME,Chartered Legal Executive (England And Wales),Kericho,Low,2025-11-08 00:00:00.000000000,148121.0,Personal,App,570041.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,11,8,5,2023,9,15,4,2027,9,19,6,Education
14,47.0,Low,SME,Chartered Legal Executive (England And Wales),Kericho,Low,2025-08-02 00:00:00.000000000,140790.0,Personal,App,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,8,2,5,2023,9,15,4,2027,9,19,6,Education
15,47.0,Low,SME,"Surveyor, Planning And Development",Kitale,Low,2024-04-14 00:00:00.000000000,148121.0,School Fees,App,577894.0,7611.0,2024-03-14 00:00:00.000000000,2028-06-23 00:00:00.000000000,Active,2024,4,14,6,2024,3,14,3,2028,6,23,4,Education
15,47.0,Low,SME,"Surveyor, Planning And Development",Kitale,Low,2024-04-14 00:00:00.000000000,148121.0,School Fees,App,577894.0,7611.0,2022-04-10 00:00:00.000000000,2028-08-01 00:00:00.000000000,Lapsed,2024,4,14,6,2022,4,10,6,2028,8,1,1,Education
15,47.0,Low,SME,"Surveyor, Planning And Development",Kitale,Low,2024-04-14 00:00:00.000000000,148121.0,School Fees,App,577894.0,8898.0,2023-01-28 00:00:00.000000000,2028-07-21 00:00:00.000000000,Active,2024,4,14,6,2023,1,28,5,2028,7,21,4,Education
16,47.0,Low,Go Banking,Politician'S Assistant,Siaya,Low,2025-07-16 00:00:00.000000000,148121.0,School Fees,App,406233.0,7611.0,2022-10-01 00:00:00.000000000,2027-12-04 00:00:00.000000000,Lapsed,2025,7,16,2,2022,10,1,5,2027,12,4,5,Education
16,47.0,Low,Go Banking,Politician'S Assistant,Siaya,Low,2025-07-16 00:00:00.000000000,148121.0,School Fees,App,406233.0,7611.0,2023-11-21 00:00:00.000000000,2027-12-20 00:00:00.000000000,Active,2025,7,16,2,2023,11,21,1,2027,12,20,0,Education
16,47.0,Low,Go Banking,Politician'S Assistant,Siaya,Low,2024-05-07 00:00:00.000000000,148121.0,Personal,Branch,380803.0,7611.0,2022-10-01 00:00:00.000000000,2027-12-04 00:00:00.000000000,Lapsed,2024,5,7,1,2022,10,1,5,2027,12,4,5,Education
16,47.0,Low,Go Banking,Politician'S Assistant,Siaya,Low,2024-05-07 00:00:00.000000000,148121.0,Personal,Branch,380803.0,7611.0,2023-11-21 00:00:00.000000000,2027-12-20 00:00:00.000000000,Active,2024,5,7,1,2023,11,21,1,2027,12,20,0,Education
17,39.0,Medium,Platinum,Fast Food Restaurant Manager,Kitale,Medium,2024-09-10 00:00:00.000000000,148121.0,School Fees,Ussd,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2024,9,10,1,2023,9,15,4,2027,9,19,6,Education
18,47.0,High,Go Banking,"Geologist, Engineering",Mombasa,Low,2024-09-08 00:00:00.000000000,276067.0,Groceries,Branch,318006.0,7611.0,2023-07-20 00:00:00.000000000,2026-07-14 00:00:00.000000000,Active,2024,9,8,6,2023,7,20,3,2026,7,14,1,Education
19,47.0,High,Platinum,"Conservator, Museum/Gallery",Kajiado,High,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-12-19 00:00:00.000000000,2027-01-16 00:00:00.000000000,Active,2025,3,15,5,2023,12,19,1,2027,1,16,5,Education
20,66.0,Medium,SME,Architectural Technologist,Kericho,Low,2025-06-24 00:00:00.000000000,174624.0,Groceries,Internet Banking,491804.0,7611.0,2022-07-01 00:00:00.000000000,2028-05-10 00:00:00.000000000,Lapsed,2025,6,24,1,2022,7,1,4,2028,5,10,2,Education
21,76.0,High,Platinum,Dance Movement Psychotherapist,Kisumu,Low,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-08-21 00:00:00.000000000,2026-12-11 00:00:00.000000000,Lapsed,2025,3,15,5,2023,8,21,0,2026,12,11,4,Education
22,47.0,Medium,Gold,Oceanographer,Kericho,Low,2025-10-28 00:00:00.000000000,148121.0,Personal,Ussd,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,10,28,1,2023,9,15,4,2027,9,19,6,Education
22,47.0,High,Gold,Oceanographer,Kericho,Low,2026-02-12 00:00:00.000000000,148121.0,Travel,Internet Banking,258309.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2026,2,12,3,2023,9,15,4,2027,9,19,6,Education
22,47.0,High,Gold,Oceanographer,Kericho,Low,2024-08-28 00:00:00.000000000,148121.0,Personal,App,303714.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2024,8,28,2,2023,9,15,4,2027,9,19,6,Education
23,47.0,High,SME,Phytotherapist,Kilifi,Medium,2026-03-11 00:00:00.000000000,138157.0,School Fees,Ussd,406233.0,7611.0,2024-05-05 00:00:00.000000000,2028-07-31 00:00:00.000000000,Active,2026,3,11,2,2024,5,5,6,2028,7,31,0,Education
23,47.0,High,SME,Phytotherapist,Kilifi,Medium,2026-03-11 00:00:00.000000000,138157.0,School Fees,Ussd,406233.0,10408.0,2022-08-31 00:00:00.000000000,2028-03-07 00:00:00.000000000,Active,2026,3,11,2,2022,8,31,2,2028,3,7,1,Education
24,47.0,Low,Platinum,Counselling Psychologist,Mombasa,Low,2024-06-14 00:00:00.000000000,148121.0,School Fees,Branch,406233.0,7611.0,2024-03-26 00:00:00.000000000,2027-12-05 00:00:00.000000000,Active,2024,6,14,4,2024,3,26,1,2027,12,5,6,Education
24,47.0,Low,Platinum,Counselling Psychologist,Mombasa,Low,2024-10-18 00:00:00.000000000,148121.0,Groceries,Branch,276578.0,7611.0,2024-03-26 00:00:00.000000000,2027-12-05 00:00:00.000000000,Active,2024,10,18,4,2024,3,26,1,2027,12,5,6,Education
25,47.0,High,Go Banking,Labourer,Narok,High,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2024-06-01 00:00:00.000000000,2027-11-29 00:00:00.000000000,Active,2025,3,15,5,2024,6,1,5,2027,11,29,0,Education
25,47.0,High,Go Banking,Labourer,Narok,High,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7538.0,2024-01-28 00:00:00.000000000,2028-04-27 00:00:00.000000000,Active,2025,3,15,5,2024,1,28,6,2028,4,27,3,Education
26,68.0,Medium,Go Banking,"Therapist, Occupational",Meru,Low,2025-03-13 00:00:00.000000000,111627.0,Personal,App,406233.0,7611.0,2025-02-20 00:00:00.000000000,2028-01-08 00:00:00.000000000,Pending,2025,3,13,3,2025,2,20,3,2028,1,8,5,Education
27,72.0,High,SME,Oceanographer,Migori,Low,2025-10-18 00:00:00.000000000,148121.0,Bills,App,406233.0,7611.0,2024-08-23 00:00:00.000000000,2026-05-08 00:00:00.000000000,Lapsed,2025,10,18,5,2024,8,23,4,2026,5,8,4,Education
28,47.0,Low,Go Banking,Barrister'S Clerk,Thika Road,Medium,2025-05-13 00:00:00.000000000,148121.0,School Fees,App,406233.0,7611.0,2023-04-09 00:00:00.000000000,2028-12-24 00:00:00.000000000,Active,2025,5,13,1,2023,4,9,6,2028,12,24,6,Education
28,47.0,Low,Go Banking,Barrister'S Clerk,Thika Road,Medium,2025-05-13 00:00:00.000000000,148121.0,School Fees,App,406233.0,7611.0,2022-12-24 00:00:00.000000000,2027-06-18 00:00:00.000000000,Active,2025,5,13,1,2022,12,24,5,2027,6,18,4,Education
28,47.0,Low,Go Banking,Barrister'S Clerk,Thika Road,Medium,2025-05-13 00:00:00.000000000,148121.0,School Fees,App,406233.0,3635.0,2022-03-22 00:00:00.000000000,2026-08-15 00:00:00.000000000,Pending,2025,5,13,1,2022,3,22,1,2026,8,15,5,Education
28,47.0,Low,Go Banking,Barrister'S Clerk,Thika Road,Medium,2024-12-02 00:00:00.000000000,148121.0,Groceries,App,406233.0,7611.0,2023-04-09 00:00:00.000000000,2028-12-24 00:00:00.000000000,Active,2024,12,2,0,2023,4,9,6,2028,12,24,6,Education
28,47.0,Medium,Go Banking,Barrister'S Clerk,Thika Road,Medium,2024-12-02 00:00:00.000000000,148121.0,Groceries,App,406233.0,7611.0,2022-12-24 00:00:00.000000000,2027-06-18 00:00:00.000000000,Active,2024,12,2,0,2022,12,24,5,2027,6,18,4,Education
28,47.0,Medium,Go Banking,Barrister'S Clerk,Thika Road,Medium,2024-12-02 00:00:00.000000000,148121.0,Groceries,App,406233.0,3635.0,2022-03-22 00:00:00.000000000,2026-08-15 00:00:00.000000000,Pending,2024,12,2,0,2022,3,22,1,2026,8,15,5,Education
29,47.0,Low,SME,Television Floor Manager,Nairobi,Low,2024-06-08 00:00:00.000000000,226795.0,Electronics,Ussd,406233.0,7611.0,2024-02-19 00:00:00.000000000,2028-04-06 00:00:00.000000000,Pending,2024,6,8,5,2024,2,19,0,2028,4,6,3,Education
29,47.0,Low,SME,Television Floor Manager,Nairobi,Low,2024-06-08 00:00:00.000000000,226795.0,Electronics,Ussd,406233.0,7611.0,2024-12-20 00:00:00.000000000,2027-04-09 00:00:00.000000000,Pending,2024,6,8,5,2024,12,20,4,2027,4,9,4,Education
30,47.0,High,SME,Music Tutor,Bomet,Low,2025-03-15 05:39:05.628589568,148121.0,Groceries,App,731644.0,7611.0,2023-02-15 00:00:00.000000000,2026-10-13 00:00:00.000000000,Active,2025,3,15,5,2023,2,15,2,2026,10,13,1,Education
30,47.0,High,SME,Music Tutor,Bomet,Low,2025-12-26 00:00:00.000000000,148121.0,Bills,App,737257.0,7611.0,2023-02-15 00:00:00.000000000,2026-10-13 00:00:00.000000000,Active,2025,12,26,4,2023,2,15,2,2026,10,13,1,Education
30,47.0,High,SME,Music Tutor,Bomet,Low,2026-01-18 00:00:00.000000000,148121.0,Travel,App,185228.0,7611.0,2023-02-15 00:00:00.000000000,2026-10-13 00:00:00.000000000,Active,2026,1,18,6,2023,2,15,2,2026,10,13,1,Education
31,38.0,Medium,SME,"Secretary, Company",Kericho,High,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,3,15,5,2023,9,15,4,2027,9,19,6,Education
32,47.0,Medium,Platinum,"Development Worker, Community",Mombasa,High,2024-05-19 00:00:00.000000000,148121.0,Personal,Ussd,367512.0,7611.0,2022-08-09 00:00:00.000000000,2028-09-12 00:00:00.000000000,Active,2024,5,19,6,2022,8,9,1,2028,9,12,1,Education
32,47.0,Medium,Platinum,"Development Worker, Community",Mombasa,High,2024-05-19 00:00:00.000000000,148121.0,Personal,Ussd,367512.0,7611.0,2024-09-23 00:00:00.000000000,2028-03-11 00:00:00.000000000,Active,2024,5,19,6,2024,9,23,0,2028,3,11,5,Education
33,47.0,Medium,SME,Personnel Officer,Garissa,Medium,2025-05-29 00:00:00.000000000,23363.0,Personal,App,8249.0,7611.0,2024-06-19 00:00:00.000000000,2027-01-20 00:00:00.000000000,Pending,2025,5,29,3,2024,6,19,2,2027,1,20,2,Education
34,31.0,Medium,Go Banking,Chartered Legal Executive (England And Wales),Narok,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2024-07-17 00:00:00.000000000,2027-01-09 00:00:00.000000000,Lapsed,2025,3,15,5,2024,7,17,2,2027,1,9,5,Education
34,31.0,Medium,Go Banking,Chartered Legal Executive (England And Wales),Narok,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,2896.0,2022-11-12 00:00:00.000000000,2027-11-25 00:00:00.000000000,Pending,2025,3,15,5,2022,11,12,5,2027,11,25,3,Education
35,47.0,Low,Gold,Museum/Gallery Curator,Kilifi,Medium,2025-11-13 00:00:00.000000000,148121.0,Bills,Branch,761746.0,7611.0,2023-10-03 00:00:00.000000000,2028-04-20 00:00:00.000000000,Lapsed,2025,11,13,3,2023,10,3,1,2028,4,20,3,Education
35,47.0,Low,Gold,Museum/Gallery Curator,Kilifi,Medium,2025-11-13 00:00:00.000000000,148121.0,Bills,Branch,761746.0,9379.0,2023-06-18 00:00:00.000000000,2026-04-05 00:00:00.000000000,Pending,2025,11,13,3,2023,6,18,6,2026,4,5,6,Education
35,47.0,Low,Gold,Museum/Gallery Curator,Kilifi,Medium,2025-11-13 00:00:00.000000000,148121.0,Bills,Branch,761746.0,14910.0,2023-05-31 00:00:00.000000000,2026-11-10 00:00:00.000000000,Active,2025,11,13,3,2023,5,31,2,2026,11,10,1,Education
36,70.0,Medium,Platinum,Exercise Physiologist,Thika Road,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,3,15,5,2023,9,15,4,2027,9,19,6,Education
37,47.0,Medium,Go Banking,Financial Adviser,Kilifi,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,14134.0,2024-06-16 00:00:00.000000000,2027-08-23 00:00:00.000000000,Active,2025,3,15,5,2024,6,16,6,2027,8,23,0,Education
38,52.0,Medium,SME,Hydrogeologist,Homa Bay,Low,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,3,15,5,2023,9,15,4,2027,9,19,6,Education
39,47.0,Medium,SME,Herbalist,Kakamega,Low,2025-02-21 00:00:00.000000000,222945.0,Personal,App,406233.0,7611.0,2022-11-04 00:00:00.000000000,2027-04-18 00:00:00.000000000,Active,2025,2,21,4,2022,11,4,4,2027,4,18,6,Education
40,47.0,Low,Gold,"Therapist, Horticultural",Garissa,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2024-06-13 00:00:00.000000000,2028-04-22 00:00:00.000000000,Active,2025,3,15,5,2024,6,13,3,2028,4,22,5,Education
41,67.0,High,Go Banking,"Doctor, Hospital",Thika,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2024-12-26 00:00:00.000000000,2027-09-10 00:00:00.000000000,Pending,2025,3,15,5,2024,12,26,3,2027,9,10,4,Education
42,19.0,High,Platinum,Media Buyer,Embu,Low,2025-05-12 00:00:00.000000000,148121.0,Electronics,Ussd,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,5,12,0,2023,9,15,4,2027,9,19,6,Education
42,19.0,High,Platinum,Media Buyer,Embu,Low,2024-11-10 00:00:00.000000000,148121.0,Electronics,Ussd,61380.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2024,11,10,6,2023,9,15,4,2027,9,19,6,Education
43,71.0,Low,Go Banking,"Journalist, Magazine",Bomet,High,2025-07-17 00:00:00.000000000,165038.0,School Fees,Internet Banking,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,7,17,3,2023,9,15,4,2027,9,19,6,Education
43,71.0,Low,Go Banking,"Journalist, Magazine",Bomet,High,2024-09-02 00:00:00.000000000,148121.0,Personal,Branch,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2024,9,2,0,2023,9,15,4,2027,9,19,6,Education
44,47.0,High,SME,"Engineer, Communications",Thika,Low,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-03-11 00:00:00.000000000,2027-10-11 00:00:00.000000000,Pending,2025,3,15,5,2023,3,11,5,2027,10,11,0,Education
44,47.0,High,SME,"Engineer, Communications",Thika,Low,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2024-11-17 00:00:00.000000000,2027-01-06 00:00:00.000000000,Active,2025,3,15,5,2024,11,17,6,2027,1,6,2,Education
45,47.0,High,Platinum,Firefighter,Narok,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,3,15,5,2023,9,15,4,2027,9,19,6,Education
46,47.0,Medium,SME,Water Engineer,Eldoret,High,2025-12-09 00:00:00.000000000,148121.0,Personal,App,89813.0,7807.0,2024-05-31 00:00:00.000000000,2027-01-07 00:00:00.000000000,Lapsed,2025,12,9,1,2024,5,31,4,2027,1,7,3,Education
47,47.0,Low,SME,Pensions Consultant,Thika Road,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,3,15,5,2023,9,15,4,2027,9,19,6,Education
48,61.0,Medium,Go Banking,Network Engineer,Kakamega,Low,2025-09-20 00:00:00.000000000,238485.0,Personal,Ussd,68894.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,9,20,5,2023,9,15,4,2027,9,19,6,Education
49,47.0,Low,Gold,Environmental Consultant,Nakuru,High,2024-10-11 00:00:00.000000000,148121.0,Electronics,App,76250.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2024,10,11,4,2023,9,15,4,2027,9,19,6,Education
49,47.0,Low,Gold,Environmental Consultant,Nakuru,High,2025-04-30 00:00:00.000000000,89654.0,Electronics,Ussd,470282.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,4,30,2,2023,9,15,4,2027,9,19,6,Education
50,47.0,High,SME,Information Officer,Busia,Medium,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,3,15,5,2023,9,15,4,2027,9,19,6,Education
51,47.0,Low,Go Banking,Operational Researcher,Busia,Low,2026-02-01 00:00:00.000000000,186139.0,Bills,App,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2026,2,1,6,2023,9,15,4,2027,9,19,6,Education
51,47.0,Low,Go Banking,Operational Researcher,Busia,Low,2024-07-15 00:00:00.000000000,148121.0,Bills,App,482707.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2024,7,15,0,2023,9,15,4,2027,9,19,6,Education
52,47.0,High,Platinum,"Therapist, Music",Kwale,Medium,2025-11-15 00:00:00.000000000,166086.0,Bills,App,406233.0,1274.0,2022-07-23 00:00:00.000000000,2028-06-12 00:00:00.000000000,Active,2025,11,15,5,2022,7,23,5,2028,6,12,0,Education
52,47.0,Low,Platinum,"Therapist, Music",Kwale,Medium,2025-05-12 00:00:00.000000000,148121.0,Bills,App,406233.0,1274.0,2022-07-23 00:00:00.000000000,2028-06-12 00:00:00.000000000,Active,2025,5,12,0,2022,7,23,5,2028,6,12,0,Education
53,47.0,Medium,Gold,Insurance Broker,Meru,Low,2025-03-15 05:39:05.628589568,148121.0,Personal,App,406233.0,7611.0,2023-09-15 15:49:17.609391872,2027-09-19 06:09:16.677316352,Active,2025,3,15,5,2023,9,15,4,2027,9,19,6,Education
54,47.0,Medium,SME,"Programmer, Applications",Meru,High,2025-09-01 00:00:00.000000000,118176.0,Groceries,App,406233.0,7611.0,2023-04-15 00:00:00.000000000,2027-11-26 00:00:00.000000000,Pending,2025,9,1,0,2023,4,15,5,2027,11,26,4,Education
55,47.0,High,SME,Dramatherapist,Malindi,Low,2025-12-09 00:00:00.000000000,9483.0,Bills,App,406233.0,7611.0,2024-10-06 00:00:00.000000000,2027-05-09 00:00:00.000000000,Active,2025,12,9,1,2024,10,6,6,2027,5,9,6,Education
56,47.0,Low,Platinum,Airline Pilot,Machakos,High,2024-05-01 00:00:00.000000000,148121.0,School Fees,Branch,406233.0,11038.0,2024-07-19 00:00:00.000000000,2026-05-31 00:00:00.000000000,Active,2024,5,1,2,2024,7,19,4,2026,5,31,6,Education
