customer_id,age,income_band,customer_segment,occupation,city,kyc_risk_rating
74,58,Low,Mass,Adult nurse,Lamu,Medium
75,45,, ,"Designer, television/film set",Nakuru,
76,,,SME,Visual merchandiser,Bungoma,Medium
77,,Low,Mass,"Engineer, control and instrumentation",Naivasha,
78,50,,SME,Sales executive,Naivasha,Low
79,65,Medium, ,Web designer,Kajiado,Low
80,79,Medium, ,Public librarian,Voi,Low
81,,,Mass,Psychiatric nurse,Machakos,Low
82,,,SME,"Psychologist, forensic",Bomet,High
83,,Medium,SME,Rural practice surveyor,Bungoma,Medium
84,,High,Mass,"Accountant, chartered public finance", ,Medium
85,52,High,Affluent,"Engineer, civil (consulting)",Nairobi,Medium
86,,Low,Affluent,Insurance risk surveyor,Bomet,High
87,,, ,Clinical research associate,Meru,Medium
88,,, ,Archaeologist,Kilifi,Low
89,,Medium,Affluent,Publishing rights manager, ,Medium
90,22,,Affluent,Firefighter,Voi,Medium
91,,,Affluent,Armed forces technical officer,Kitale,
92,,Medium,Mass,Further education lecturer,Thika,High
93,,Medium,Mass,Stage manager,Kericho,Low
94,32,,Mass,Architectural technologist,Kajiado,Low
95,59,Medium,Mass,"Designer, furniture",Eldoret,Low
96,,Low,Mass,Social worker,Bungoma,Medium
97,,Low,Mass,Operations geologist, ,Low
98,,, ,Medical technical officer,Narok,Low
99,,,SME,Rural practice surveyor,Busia,
100,69,Low, ,Financial manager,Nairobi,Medium
101,,Low,SME,"Designer, industrial/product",Siaya,
102,,, ,Network engineer,Lamu,High
103,,High, ,Printmaker,Wajir,Medium
104,,Medium,Mass,Physiological scientist,Isiolo,
105,,Low,Mass,"Designer, fashion/clothing",Machakos,High
106,,High,SME,Production engineer,Lamu,
107,46,,SME,Broadcast engineer,Busia,High
108,53,High,Mass,Chief Strategy Officer,Machakos,Low
109,30,, ,"Engineer, communications",Busia,Low
110,,,SME,"Clinical scientist, histocompatibility and immunogenetics",Garissa,Medium
111,,,Affluent,Water quality scientist,Narok,
112,,High,Affluent,"Lecturer, further education",Nyeri,
113,,,Affluent,Visual merchandiser,Lamu,High
114,,Low,SME,Research scientist (life sciences),Homa Bay,Medium
115,,High,Mass,Community pharmacist,Kakamega,Low
116,62,Low,Mass,Chief Marketing Officer, ,
117,79,High,Mass,"Engineer, aeronautical",Kitale,High
118,,Low,SME,Broadcast journalist,Homa Bay,Low
119,45,High,SME,Retail merchandiser,Homa Bay,Low
120,,,Affluent,"Administrator, education",Kwale,Low
121,61,Medium,SME,Phytotherapist,Wajir,High
122,,,Affluent,Theatre manager,Migori,High
123,,Low,Affluent,,Kisumu,Low
124,,,Mass,Equities trader,Bomet,High
125,,,SME,Editorial assistant,Meru,Low
126,,Medium,Mass,Occupational therapist,Machakos,Low
127,,Low,Mass,Control and instrumentation engineer,Nyeri,Low
128,,,SME,Geophysical data processor,Kajiado,High
129,,High,SME,"Scientist, physiological",Kericho,Medium
130,,, ,Theatre stage manager,Isiolo,Medium
131,,Low,Affluent,Ecologist,Kericho,High
132,,, ,Publishing rights manager,Kericho,
133,,Low,Affluent,Commercial art gallery manager,Garissa,High
134,,High,Affluent,Film/video editor,Kericho,
135,,Medium,Affluent,"Engineer, materials",Wajir,Low
136,,,Mass,Careers information officer,Homa Bay,
137,,Low,Mass,Counselling psychologist,,Low
138,,Low,SME,Field trials officer,Machakos,Medium
139,,Low,Affluent,"Research officer, political party",Bomet,Low
140,,Medium,Affluent,Solicitor,Bomet,
141,,Low,Affluent,Arts development officer,Narok,Medium
142,69,,Mass,Careers information officer,Nyeri,Medium
143,,,SME,"Engineer, agricultural",Kitale,High
144,,Low,Mass,Radio broadcast assistant,Embu,
145,,, ,,Thika,
146,,, ,Public house manager,Bungoma,High
147,,, ,"Designer, multimedia",Lamu,High
148,,Low,SME,"Teacher, music",Meru,Medium
149,19,High, ,Electronics engineer,Bomet,High
150,,,SME,Media planner,Naivasha,Medium
151,,Medium,Mass,Clinical molecular geneticist,Thika,
152,71,Low,Mass,"Surveyor, quantity",Siaya,High
153,,Medium,SME,"Teacher, special educational needs",Nairobi,
154,,High,Mass,Actor,Bungoma,Medium
155,,Medium,Mass,"Surveyor, mining",Embu,Low
156,,Low,SME,"Scientist, biomedical",Lamu,Low
157,70,Low, ,Waste management officer,Thika,
158,,High,SME,Physiological scientist,Kitale,Medium
159,,Low,Affluent,"Scientist, biomedical",Malindi,Medium
160,,High,Mass,Psychiatric nurse, ,Low
161,,High,SME,Trade mark attorney, ,Medium
162,,Low,Mass,"Production designer, theatre/television/film",Eldoret,Medium
163,,, ,Research scientist (life sciences),Kajiado,
164,,High,Mass,Dealer,Kakamega,Low
165,,Low,SME,,Kwale,Medium
166,,, ,Research scientist (life sciences),Eldoret,
167,,High, ,Chiropractor,,High
168,,, ,Solicitor,Kitale,Low
169,,,Affluent,Proofreader,Kisumu,
170,,,SME,"Psychotherapist, dance movement",Lamu,High
171,,,SME,Orthoptist, ,Medium
172,,High, ,Engineering geologist,Meru,Medium
173,,Low,Mass,Surgeon,Thika,High
174,,Medium, ,Theatre stage manager,Siaya,
175,,Low,Affluent,Science writer,Mombasa,Medium
176,,Medium, ,Call centre manager,Busia,Medium
177,,Medium,SME,Associate Professor,Mombasa,
178,,High, ,Land,Siaya,
179,,,Mass,"Designer, exhibition/display",Kitale,High
180,,Low,SME,Sales executive,Machakos,Medium
181,,,Mass,"Teacher, English as a foreign language",Mombasa,
182,56,, ,Haematologist,Meru,Low
183,,High,SME,Trade mark attorney,Kajiado,High
184,,High,Affluent,Contracting civil engineer,Homa Bay,High
185,,,SME,Retail banker,Kwale,High
186,,Low,Mass,"Pilot, airline",Wajir,High
187,,,SME,Information systems manager,Kilifi,Low
188,,Low,Affluent,Financial planner,Garissa,High
189,77,Medium,Affluent,"Surveyor, insurance",Embu,High
190,19,High,Affluent,Chartered management accountant,Migori,
191,,Low,Affluent,"Teacher, adult education",Nakuru,Medium
192,,,Mass,"Presenter, broadcasting",Nakuru,High
193,54,,SME,"Engineer, mining",Kakamega,
194,,High, ,Medical physicist,Bungoma,
195,26,,Affluent,Scientific laboratory technician,Lamu,Medium
196,,, ,"Psychologist, sport and exercise",Isiolo,
197,,Low, ,Consulting civil engineer,Bomet,
198,,,SME,Sports administrator,Eldoret,High
199,,High, ,"Engineer, electrical",Wajir,High
200,,Low, ,"Administrator, charities/voluntary organisations",Mombasa,
201,,Medium,Mass,Haematologist,Garissa,Low
202,71,, ,Broadcast journalist,Kakamega,Medium
203,,,SME,Quarry manager,Bomet,
204,,Low, ,Public relations officer,Lamu,
205,,,SME,Volunteer coordinator,Malindi,Low
206,,,Affluent,Volunteer coordinator,Homa Bay,Medium
207,,High, ,Location manager,Garissa,
208,,, ,Chief Financial Officer,Voi,
209,,Medium, ,"Editor, commissioning",Kisumu,High
210,,,Affluent,International aid/development worker,Migori,
211,,,Mass,"Chemist, analytical",Wajir,Low
212,,, ,Health and safety adviser,Garissa,
213,,Low,SME,Computer games developer,Lamu,Medium
214,,,Mass,"Geneticist, molecular",Narok,Medium
215,,,Mass,"Scientist, biomedical",Kwale,Low
216,,Low,Mass,Office manager,Kajiado,
217,,High, ,Forest/woodland manager,Kericho,
218,,Low,Affluent,Air broker,Homa Bay,
219,,Medium,Affluent,Cabin crew,Voi,
220,,Low, ,Chartered accountant,Kitale,
221,,High,SME,Pension scheme manager,Malindi,Medium
222,,,SME,Accommodation manager,Homa Bay,High
223,50,Low,SME,Leisure centre manager,Meru,Medium
224,,Low, ,Learning mentor,Kajiado,High
225,39,Low,Affluent,Colour technologist,Thika,Medium
226,,Low, ,Facilities manager,Narok,Low
227,,High,Affluent,Social worker,,
228,55,,Mass,Marketing executive,Voi,High
229,,, ,Air broker, ,Medium
230,68,Low,Affluent,"Engineer, petroleum",Kericho,High
231,44,High,Mass,Recruitment consultant,Bungoma,
232,,High,Mass,"Designer, textile",Lamu,Low
233,,Low, ,Sales executive,Machakos,
234,,Medium,Affluent,"Surveyor, quantity",Kitale,Medium
235,21,Low,Mass,Fashion designer,Meru,Medium
236,52,Medium, ,Water engineer,Siaya,High
237,,Low,Mass,Stage manager,Nakuru,Low
238,66,Medium,SME,Occupational therapist,Kericho,Low
239,34,Medium, ,"Engineer, structural",Mombasa,Medium
240,,Low,Mass,Technical author,Kisumu,High
241,,Medium, ,Careers information officer,Eldoret,
242,,, ,Travel agency manager,Lamu,
243,63,,Affluent,Proofreader,Kwale,Medium
244,23,High,Affluent,"Presenter, broadcasting",Busia,Medium
245,,Medium,Mass,Hospital doctor,Isiolo,
246,,Medium, ,"Designer, multimedia",Bungoma,
247,54,High, ,Forensic psychologist,Embu,
248,,Medium,SME,"Nurse, children's",Kilifi,High
249,,High, ,"Producer, television/film/video",Mombasa,Low
250,,Low,Affluent,"Journalist, broadcasting",Garissa,Medium
251,,, ,"Surveyor, commercial/residential",Machakos,Medium
252,,,Affluent,Education administrator,Homa Bay,High
253,,,SME,Community pharmacist,Kisumu,
254,,Medium,Mass,Educational psychologist,Lamu,High
255,,,Affluent,Herbalist,Migori,
256,,Low,Mass,Quality manager,Migori,Medium
257,,,Mass,,Kwale,Low
258,35,Low,Mass,Special effects artist,Voi,High
259,,Low,Mass,Fine artist,Eldoret,
260,71,Medium,Affluent,Hydrologist,Nakuru,Medium
261,75,Low,SME,"Development worker, international aid",Voi,Low
262,,, ,"Horticulturist, commercial",Kitale,High
263,,,Affluent,Public affairs consultant,Narok,High
264,,,SME,Water quality scientist,Garissa,Medium
265,,Medium, ,Advertising art director,Kilifi,High
266,,,Mass,"Engineer, broadcasting (operations)",Wajir,Medium
267,,High, ,"Therapist, horticultural",Kericho,High
268,,, ,Dentist,Eldoret,Low
269,,High,SME,"Scientist, research (physical sciences)",Kitale,Low
270,56,High, ,"Radiographer, therapeutic",Narok,High
271,,Medium,Mass,Wellsite geologist,Mombasa,Medium
272,,Low,Affluent,"Designer, fashion/clothing",Naivasha,
273,43,High,Affluent,Freight forwarder,Kwale,High
274,30,,SME,"Administrator, education",Voi,
275,53,Low,Mass,"Programmer, applications",Kwale,Medium
276,,,Mass,Exercise physiologist,Kajiado,
277,37,, ,"Research officer, trade union",Eldoret,High
278,,Low,SME,"Psychologist, counselling",Migori,Low
279,,Low,Mass,Hotel manager,Kajiado,Medium
280,,,Mass,Homeopath,Kakamega,Low
281,,Medium,Mass,Careers information officer,Isiolo,Low
282,68,,Affluent,"Teacher, primary school",Isiolo,Low
283,,,Affluent,Hotel manager,Naivasha,High
284,,Medium,Affluent,"Lecturer, higher education",Nyeri,Medium
285,,Low, ,Conference centre manager,Voi,
286,,, ,"Accountant, chartered certified",Migori,Low
287,,, ,Mental health nurse,Embu,
288,,,Mass,Environmental health practitioner,Migori,Medium
289,75,Medium,Affluent,Advertising account executive,Migori,Medium
290,,,Mass,Naval architect,Kakamega,
291,,Medium,Mass,Systems developer,Mombasa,
292,71,Low,SME,Chief of Staff,Kericho,Low
293,,Medium,Mass,Risk analyst,Kericho,
294,70,Medium, ,"Production assistant, television",Meru,
295,77,,Affluent,"Lecturer, further education",Malindi,High
296,,,Affluent,Archaeologist,Garissa,Low
297,22,,Mass,"Nurse, learning disability",Lamu,Low
298,,High, ,"Sales professional, IT",Siaya,Medium
299,,Medium, ,"Buyer, industrial", ,
300,,High, ,"Doctor, general practice",Kajiado,High
301,64,,Affluent,Scientific laboratory technician,Busia,Medium
302,,, ,Operational investment banker,Voi,High
303,,, ,"Scientist, clinical (histocompatibility and immunogenetics)",Kwale,Low
304,,,Mass,,Bungoma,
305,,,SME,Sub,Siaya,High
306,,Low, ,Logistics and distribution manager,Siaya,Medium
307,,Medium,Mass,Ship broker,Kajiado,Low
308,,,Mass,"Nurse, adult",Homa Bay,High
309,,, ,Chartered loss adjuster,Kilifi,High
310,75,,SME,"Teacher, secondary school",,Medium
311,,,Affluent,Claims inspector/assessor,Nyeri,High
312,,,SME,Retail buyer,Kajiado,Low
313,,High, ,Automotive engineer,Migori,High
314,,Medium,SME,"Secretary, company",Kwale,
315,75,Medium,Mass,Telecommunications researcher,Bomet,
316,,Low,Mass,"Horticulturist, amenity",Kitale,Medium
317,18,Low,SME,Contractor,Kajiado,
318,,Low,Affluent,Teaching laboratory technician,Eldoret,
319,,Medium,SME,Physiotherapist,Migori,High
320,,High, ,,Malindi,Low
321,,Medium,Affluent,Illustrator,Nyeri,Low
322,65,Medium,SME,Air traffic controller,Thika,High
323,,Medium,SME,Early years teacher,Bungoma,
324,,Medium,Affluent,Heritage manager,Migori,High
325,,High,SME,"Accountant, chartered",Thika,
326,,Low, ,Psychotherapist,Kitale,
327,,,Mass,Air cabin crew,Bungoma,
328,,Low, ,"Engineer, broadcasting (operations)",Narok,Low
329,,Low,SME,Firefighter,Mombasa,Medium
330,,,Mass,Astronomer,Kericho,Low
331,,Medium,Affluent,Futures trader,Siaya,
332,,High, ,Best boy,Migori,High
333,,High,Affluent,"Psychologist, clinical",Kakamega,High
334,,Low,Mass,Systems analyst,Garissa,
335,,,SME,Actuary,Kericho,Medium
336,64,,Mass,"Pilot, airline",Busia,Low
337,,Medium,Mass,Product/process development scientist,Kisumu,Low
338,,Low,Affluent,Educational psychologist,Embu,
339,,High, ,Patent attorney,Machakos,
340,,,Mass,Health and safety adviser,Kwale,Medium
341,56,,SME,"Engineer, production",Meru,Low
342,,Low,Mass,,Garissa,Medium
343,,,Affluent,"Nurse, learning disability",Voi,Low
344,,High, ,Agricultural engineer,Isiolo,Medium
345,40,Low,SME,"Education officer, environmental",Machakos,Medium
346,,,Affluent,Public house manager,Kakamega,Medium
347,27,,Mass,"Conservation officer, historic buildings",Kajiado,High
348,,Medium,Mass,Retail merchandiser,Kajiado,High
349,,High, ,Web designer,Bomet,High
350,,High,Affluent,,Eldoret,Low
351,,,Affluent,Clinical psychologist, ,Medium
352,,Low, ,Nature conservation officer,Garissa,
353,,,SME,Commercial horticulturist,Garissa,
354,,,Affluent,"Engineer, manufacturing systems",Bomet,Low
355,,Medium, ,Arboriculturist,Busia,Low
356,21,Medium,Affluent,Meteorologist,Naivasha,
357,33,Medium, ,Actuary,Bungoma,Medium
358,,,Mass,Make,,High
359,,,Mass,Drilling engineer,Isiolo,Low
360,,High,Affluent,Financial manager,,Low
361,,Low,Affluent,"Librarian, academic",Kwale,Low
362,,High,Mass,Mechanical engineer,Kitale,
363,,,SME,Commercial/residential surveyor,Kitale,High
364,50,High, ,Training and development officer,Nakuru,Medium
365,,,SME,Estate agent,Kajiado,Medium
366,,Medium,SME,"Buyer, retail",Kakamega,
367,,,SME,Sports administrator,Bungoma,Low
368,,,Mass,Editorial assistant,Thika,
369,60,High,Affluent,Clinical molecular geneticist,Bungoma,
370,61,,SME,Manufacturing engineer,Nyeri,Medium
371,29,High,Mass,,Bomet,High
372,,High, ,Insurance risk surveyor,,Medium
373,,,Affluent,"Production designer, theatre/television/film",Garissa,
374,,High, ,"Engineer, technical sales",Nairobi,
375,52,Medium,SME,Speech and language therapist,Malindi,Low
376,,High,Affluent,Special educational needs teacher, ,Low
377,,Medium,SME,"Nurse, adult",Kisumu,
378,,,Affluent,Outdoor activities/education manager,Kilifi,Medium
379,,,SME,"Designer, jewellery",Kakamega,Low
380,,Medium, ,Consulting civil engineer,Isiolo,High
381,,, ,Risk analyst,Nyeri,High
382,,,SME,Proofreader,Bungoma,
383,,Medium,Affluent,Nature conservation officer,Meru,High
384,,, ,Podiatrist,Naivasha,High
385,,Low,Affluent,Media planner,Kakamega,Low
386,,,Affluent,Logistics and distribution manager,Machakos,Low
387,,, ,Broadcast engineer,Mombasa,Medium
388,,,Mass,"Engineer, civil (contracting)",Eldoret,Low
389,,,Mass,IT consultant,Meru,Medium
390,,High,Affluent,Podiatrist,Nairobi,Low
391,,, ,"Scientist, marine",Malindi,
392,53,,Mass,"Psychologist, occupational",,Medium
393,,Medium,SME,"Teacher, secondary school",Nyeri,
394,,Low,Affluent,Planning and development surveyor,Machakos,Medium
395,,High,Mass,Actuary,Isiolo,High
396,,Medium, ,Fish farm manager,Kilifi,Medium
397,,Low, ,Arboriculturist,Nyeri,Medium
398,54,Low,Affluent,Architect,Meru,Medium
399,,Low, ,"Scientist, forensic",Nakuru,Medium
400,30,Medium,SME,Minerals surveyor,Mombasa,Medium
401,,High,SME,Fish farm manager,Narok,High
402,79,High,Mass,Theatre stage manager,Nyeri,Medium
403,,Low, ,,Malindi,
404,,Medium,SME,"Development worker, international aid",Kisumu,Medium
405,,Low,Affluent,Contractor,Bungoma,Medium
406,36,, ,Building surveyor,Narok,
407,,High,Mass,Solicitor,Narok,Low
408,,,Affluent,Site engineer,Busia,Low
409,,Low,Affluent,General practice doctor,Siaya,High
410,,,Affluent,Advertising account executive,Narok,Medium
411,,High,SME,Video editor,Narok,Medium
412,,Medium,Affluent,Freight forwarder,Garissa,Low
413,69,High,SME,Data scientist,Kilifi,Medium
414,,Medium,Affluent,"Pilot, airline",Isiolo,High
415,,Medium,SME,Social worker,Malindi,
416,,Low, ,"Engineer, electronics",Nyeri,Medium
417,42,Low,SME,Fine artist,Lamu,
418,70,High,SME,"Horticulturist, amenity",Kajiado,High
419,,, ,"Teacher, English as a foreign language",Embu,Low
420,,High,Affluent,"Production designer, theatre/television/film",Narok,High
421,74,, ,Ambulance person,Voi,High
422,56,Medium,Affluent,"Designer, multimedia",Isiolo,High
423,,Medium,SME,"Production assistant, television",Kakamega,High
424,,Low,Affluent,Osteopath,Kakamega,
425,59,,SME,Drilling engineer,Kitale,High
426,,Low,Affluent,Curator,Machakos,High
427,,,SME,Facilities manager,Homa Bay,High
428,,High,SME,Chartered legal executive (England and Wales),Kilifi,High
429,,High,Mass,Research scientist (maths),Lamu,
430,,,Affluent,Information systems manager,Machakos,High
431,,Low,Affluent,Careers adviser,Lamu,Low
432,,Low,Mass,Academic librarian,Embu,High
433,,,SME,Stage manager,Voi,High
434,,High,SME,Medical laboratory scientific officer,Isiolo,Medium
435,,Low,Mass,"Clinical scientist, histocompatibility and immunogenetics",Lamu,Medium
436,,,Mass,Ecologist,Bungoma,Medium
437,26,High, ,"Education officer, museum",Siaya,High
438,,,SME,Television/film/video producer,Nakuru,Low
439,,, ,"Therapist, drama",Malindi,Low
440,,Medium,Affluent,Astronomer,Kericho,Medium
441,24,, ,Actor,Eldoret,Medium
442,,,Mass,Theatre director,Kisumu,High
443,,Low,Mass,Chartered accountant,Meru,Low
444,,Medium,Mass,Science writer,Migori,Low
445,,,Mass,Landscape architect,Busia,Medium
446,,Low, ,"Designer, fashion/clothing",Isiolo,Low
447,,Medium, ,Patent attorney,Migori,Medium
448,22,High, ,Interior and spatial designer,Narok,Medium
449,46,Low,Mass,Chief Marketing Officer,Narok,
450,,,Mass,Forensic scientist,Bungoma,
451,,,SME,"Social research officer, government",Homa Bay,High
452,,Medium,SME,Health promotion specialist,Nairobi,Medium
453,,Low,Mass,Investment analyst,Eldoret,High
454,,High,SME,Tourism officer,Lamu,
455,,,Affluent,Analytical chemist, ,Low
456,,,Affluent,Music therapist,Garissa,
457,,Low,Mass,Freight forwarder,Busia,
458,,High, ,Mental health nurse,Kitale,
459,,Medium,Affluent,Press photographer,Kilifi,Low
460,,Low,Affluent,Electrical engineer,Kwale,
461,36,Medium, ,TEFL teacher,Nairobi,Medium
462,56,,SME,"Surveyor, minerals",Embu,Medium
463,,Medium, ,Further education lecturer,Isiolo,
464,,High,SME,"Engineer, site",Isiolo,High
465,,,SME,Tax inspector,Thika,High
466,,High, ,Waste management officer,Nairobi,Low
467,,Medium,SME,"Sales professional, IT",Bomet,Low
468,,Low,Affluent,Theatre stage manager,Malindi,Medium
469,75,,Mass,Occupational hygienist,Isiolo,Medium
470,,,SME,Arboriculturist,Garissa,
471,18,Low,Affluent,Training and development officer,Kitale,High
472,,Low, ,Exhibition designer,Kericho,Medium
473,,High,SME,Materials engineer,Migori,High
474,,Medium,Affluent,Operational investment banker,Mombasa,Low
475,,High,SME,Aeronautical engineer,Nakuru,Low
476,75,Medium, ,,Kisumu,
477,61,High,Mass,Logistics and distribution manager,Narok,
478,,Low,SME,"Administrator, arts", ,Medium
479,,,Mass,Personal assistant,Kilifi,High
480,,Medium,SME,English as a foreign language teacher,Machakos,Medium
481,,,SME,Midwife,Kitale,Medium
482,,, ,Television camera operator,Kitale,High
483,,Low,SME,Theatre stage manager,Nyeri,Medium
484,,High,Affluent,Ranger/warden,Kilifi,
485,,High,Affluent,,Nairobi,High
486,,Low,Mass,"Scientist, physiological",Kwale,High
487,,,Mass,Aeronautical engineer,Eldoret,Medium
488,,,Affluent,Orthoptist,Kwale,High
489,,High,Mass,Marine scientist,Kwale,
490,37,Medium,Mass,Diplomatic Services operational officer,Migori,
491,64,,Affluent,Press photographer,Kakamega,Low
492,,Medium,Affluent,"Engineer, petroleum",Wajir,Low
493,31,,Affluent,Wellsite geologist,Meru,Low
494,,Medium, ,Community arts worker,Embu,Low
495,18,, ,"Conservator, museum/gallery",Kisumu,Medium
496,71,Medium,Affluent,Microbiologist,Eldoret,Low
497,,Medium,SME,Art therapist,Lamu,Low
498,,Medium,Affluent,Probation officer,Busia,Low
499,29,Medium, ,Private music teacher, ,Low
500,,Low,Mass,"Investment banker, corporate",Bungoma,Medium
501,,,SME,Commissioning editor,Meru,Low
502,25,,SME,Plant breeder/geneticist,Isiolo,High
503,,,Mass,Electrical engineer,Thika,
504,,Low,SME,Communications engineer,Bungoma,High
505,,Low,Mass,"Designer, textile",Kilifi,Medium
506,,Low, ,Newspaper journalist,Naivasha,Medium
507,,Low,SME,Educational psychologist,Homa Bay,Medium
508,,Medium,SME,"Therapist, speech and language",Machakos,
509,45,,Mass,Politician's assistant,Voi,Low
510,,High,Mass,"Biochemist, clinical",Kajiado,Medium
511,58,, ,Early years teacher,Nyeri,Low
512,,Low,Mass,"Merchandiser, retail",Busia,Medium
513,,,Mass,Tax adviser,Eldoret,
514,,Low, ,Academic librarian,Kakamega,High
515,,Low,Affluent,Armed forces training and education officer,Kajiado,High
516,,Low,Affluent,"Scientist, research (physical sciences)",Wajir,
517,,Low,Mass,Science writer,Bungoma,Low
518,,Low, ,Purchasing manager,Kericho,Medium
519,63,,Affluent,Photographer,Bomet,High
520,52,, ,Bookseller,Migori,
521,,Low,Mass,"Conservator, furniture",Mombasa,Low
522,,Low,Mass,"Engineer, drilling",Embu,High
523,,Low, ,Geophysical data processor,Meru,
524,,Low,SME,Environmental education officer,Nyeri,Medium
525,27,Medium,Mass,Architect,Nyeri,
526,,Medium,Mass,Lawyer,Kwale,Low
527,,High,Mass,Writer,Nyeri,High
528,22,Low,Mass,Politician's assistant,Busia,Medium
529,,High, ,"Engineer, manufacturing systems",Narok,Low
530,,, ,Mining engineer,Kakamega,
531,,High, ,Psychiatrist,Kakamega,High
532,,, ,"Teacher, music",Kisumu,High
533,,Medium,SME,Farm manager,Narok,Low
534,,Medium, ,Amenity horticulturist,Lamu,Medium
535,,Low, ,"Engineer, technical sales",Siaya,Low
536,,Low,Mass,"Civil engineer, consulting",Nairobi,High
537,,,SME,,Kitale,High
538,,,Mass,Interpreter,Kajiado,High
539,,,SME,Sub,Garissa,Medium
540,,Low,Affluent,"Psychologist, forensic",Embu,High
541,23,Low,SME,"Scientist, marine",Kisumu,High
542,,,SME,TEFL teacher,Migori,Low
543,,,Mass,"Engineer, energy",Kericho,High
544,,,SME,Veterinary surgeon,Isiolo,
545,40,Medium,SME,Systems analyst,,Low
546,70,High,Mass,Pension scheme manager,Homa Bay,High
547,,High,Affluent,Energy engineer,Thika,Low
548,,Low,Affluent,"Engineer, production",Nyeri,Low
549,,Medium,Affluent,Public relations officer,Kwale,
550,,,SME,Commissioning editor,Malindi,Low
551,,Low,Mass,Musician,Malindi,Low
552,,Medium,Affluent,"Geneticist, molecular",Machakos,Medium
553,18,,Affluent,"Accountant, chartered",Nakuru,High
554,68,Medium,Affluent,"Engineer, civil (consulting)", ,Medium
555,,Low,Affluent,"Surveyor, minerals",Garissa,High
556,,High,Mass,Sales executive,Nairobi,Low
557,,,Affluent,Health and safety inspector,Naivasha,High
