customer_id,age,income_band,customer_segment,occupation,city,kyc_risk_rating,transaction_id,transaction_date,amount,category,channel,balance_after,policy_id,product_type,premium_amount,start_date,end_date,status
14,,Low,SME,Chartered legal executive (England and Wales),Kericho,,103670.0,2025-11-08,,,App,570041.0,,Education,,,,
14,,Low,SME,Chartered legal executive (England and Wales),Kericho,,103846.0,2025-08-02,140790.0,,,,,Education,,,,
15,,Low,SME,"Surveyor, planning and development",Kitale,Low,103391.0,2024-04-14,,School Fees,App,577894.0,500035.0,Education,,2024-03-14,2028-06-23,Active
15,,Low,SME,"Surveyor, planning and development",Kitale,Low,103391.0,2024-04-14,,School Fees,App,577894.0,501512.0,Education,,2022-04-10,2028-08-01,Lapsed
15,,Low,SME,"Surveyor, planning and development",Kitale,Low,103391.0,2024-04-14,,School Fees,App,577894.0,506753.0,Education,8898.0,2023-01-28,2028-07-21,Active
16,,Low,Mass,Politician's assistant,Siaya,Low,102304.0,2025-07-16,,School Fees,,,503409.0,Education,,2022-10-01,2027-12-04,Lapsed
16,,Low,Mass,Politician's assistant,Siaya,Low,102304.0,2025-07-16,,School Fees,,,504530.0,Education,,2023-11-21,2027-12-20,
16,,Low,Mass,Politician's assistant,Siaya,Low,103123.0,2024-05-07,,,Branch,380803.0,503409.0,Education,,2022-10-01,2027-12-04,Lapsed
16,,Low,Mass,Politician's assistant,Siaya,Low,103123.0,2024-05-07,,,Branch,380803.0,504530.0,Education,,2023-11-21,2027-12-20,
17,39.0,Medium,Affluent,Fast food restaurant manager,Kitale,Medium,104507.0,2024-09-10,,School Fees,USSD,,,Education,,,,
18,,,Mass,"Geologist, engineering",Mombasa,,104530.0,2024-09-08,276067.0,Groceries,Branch,318006.0,505887.0,Education,,2023-07-20,2026-07-14,
19,,High,Affluent,"Conservator, museum/gallery",Kajiado,High,,,,,,,505724.0,Education,,2023-12-19,2027-01-16,
20,66.0,Medium,SME,Architectural technologist,Kericho,,103345.0,2025-06-24,174624.0,Groceries,Internet Banking,491804.0,502396.0,Education,,2022-07-01,2028-05-10,Lapsed
21,76.0,High,Affluent,Dance movement psychotherapist,Kisumu,,,,,,,,500636.0,Education,,2023-08-21,2026-12-11,Lapsed
22,,, ,Oceanographer,Kericho,,100349.0,2025-10-28,,,USSD,,,Education,,,,
22,,, ,Oceanographer,Kericho,,102191.0,2026-02-12,,Travel,Internet Banking,258309.0,,Education,,,,
22,,, ,Oceanographer,Kericho,,104453.0,2024-08-28,,,App,303714.0,,Education,,,,
23,,,SME,Phytotherapist,Kilifi,Medium,103061.0,2026-03-11,138157.0,School Fees,USSD,,502672.0,Education,,2024-05-05,2028-07-31,
23,,,SME,Phytotherapist,Kilifi,Medium,103061.0,2026-03-11,138157.0,School Fees,USSD,,505611.0,Education,10408.0,2022-08-31,2028-03-07,Active
24,,Low,Affluent,Counselling psychologist,Mombasa,,102756.0,2024-06-14,,School Fees,Branch,,502876.0,Education,,2024-03-26,2027-12-05,
24,,Low,Affluent,Counselling psychologist,Mombasa,,105388.0,2024-10-18,,Groceries,Branch,276578.0,502876.0,Education,,2024-03-26,2027-12-05,
25,,High,Mass,,Narok,High,,,,,,,501572.0,Education,,2024-06-01,2027-11-29,
25,,High,Mass,,Narok,High,,,,,,,503836.0,Education,7538.0,2024-01-28,2028-04-27,Active
26,68.0,Medium,Mass,"Therapist, occupational",Meru,Low,104387.0,2025-03-13,111627.0,,App,,502782.0,Education,,2025-02-20,2028-01-08,Pending
27,72.0,High,SME,Oceanographer,Migori,,106426.0,2025-10-18,,Bills,App,,500554.0,Education,,2024-08-23,2026-05-08,Lapsed
28,,,Mass,Barrister's clerk, ,Medium,105366.0,2025-05-13,,School Fees,,,501206.0,Education,,2023-04-09,2028-12-24,
28,,,Mass,Barrister's clerk, ,Medium,105366.0,2025-05-13,,School Fees,,,504433.0,Education,,2022-12-24,2027-06-18,Active
28,,,Mass,Barrister's clerk, ,Medium,105366.0,2025-05-13,,School Fees,,,506112.0,Education,3635.0,2022-03-22,2026-08-15,Pending
28,,,Mass,Barrister's clerk, ,Medium,106153.0,2024-12-02,,Groceries,,,501206.0,Education,,2023-04-09,2028-12-24,
28,,,Mass,Barrister's clerk, ,Medium,106153.0,2024-12-02,,Groceries,,,504433.0,Education,,2022-12-24,2027-06-18,Active
28,,,Mass,Barrister's clerk, ,Medium,106153.0,2024-12-02,,Groceries,,,506112.0,Education,3635.0,2022-03-22,2026-08-15,Pending
29,,Low,SME,Television floor manager,Nairobi,,101797.0,2024-06-08,226795.0,Electronics,USSD,,500850.0,Education,,2024-02-19,2028-04-06,Pending
29,,Low,SME,Television floor manager,Nairobi,,101797.0,2024-06-08,226795.0,Electronics,USSD,,504098.0,Education,,2024-12-20,2027-04-09,Pending
30,,High,SME,Music tutor,Bomet,,100812.0,,,Groceries,App,731644.0,502525.0,Education,,2023-02-15,2026-10-13,
30,,High,SME,Music tutor,Bomet,,101551.0,2025-12-26,,Bills,App,737257.0,502525.0,Education,,2023-02-15,2026-10-13,
30,,High,SME,Music tutor,Bomet,,102786.0,2026-01-18,,Travel,App,185228.0,502525.0,Education,,2023-02-15,2026-10-13,
31,38.0,,SME,"Secretary, company",Kericho,High,,,,,,,,Education,,,,
32,,Medium,Affluent,"Development worker, community",Mombasa,High,100837.0,2024-05-19,,,USSD,367512.0,502023.0,Education,,2022-08-09,2028-09-12,
32,,Medium,Affluent,"Development worker, community",Mombasa,High,100837.0,2024-05-19,,,USSD,367512.0,504404.0,Education,,2024-09-23,2028-03-11,
33,,,SME,Personnel officer,Garissa,Medium,104410.0,2025-05-29,23363.0,,,8249.0,501597.0,Education,,2024-06-19,2027-01-20,Pending
34,31.0,Medium,Mass,Chartered legal executive (England and Wales),Narok,Medium,,,,,,,504147.0,Education,,2024-07-17,2027-01-09,Lapsed
34,31.0,Medium,Mass,Chartered legal executive (England and Wales),Narok,Medium,,,,,,,506534.0,Education,2896.0,2022-11-12,2027-11-25,Pending
35,,Low, ,Museum/gallery curator,Kilifi,Medium,101310.0,2025-11-13,,Bills,Branch,761746.0,502181.0,Education,,2023-10-03,2028-04-20,Lapsed
35,,Low, ,Museum/gallery curator,Kilifi,Medium,101310.0,2025-11-13,,Bills,Branch,761746.0,503534.0,Education,9379.0,2023-06-18,2026-04-05,Pending
35,,Low, ,Museum/gallery curator,Kilifi,Medium,101310.0,2025-11-13,,Bills,Branch,761746.0,504248.0,Education,14910.0,2023-05-31,2026-11-10,
36,70.0,Medium,Affluent,Exercise physiologist, ,Medium,,,,,,,,Education,,,,
37,,Medium,Mass,Financial adviser,Kilifi,Medium,,,,,,,505067.0,Education,14134.0,2024-06-16,2027-08-23,
38,52.0,Medium,SME,Hydrogeologist,Homa Bay,Low,,,,,,,,Education,,,,
39,,Medium,SME,Herbalist,Kakamega,Low,100327.0,2025-02-21,222945.0,,,,500684.0,Education,,2022-11-04,2027-04-18,
40,,Low, ,"Therapist, horticultural",Garissa,Medium,,,,,,,502180.0,Education,,2024-06-13,2028-04-22,
41,67.0,,Mass,"Doctor, hospital",Thika,Medium,,,,,,,501906.0,Education,,2024-12-26,2027-09-10,Pending
42,19.0,High,Affluent,Media buyer,Embu,Low,102504.0,2025-05-12,,Electronics,USSD,,,Education,,,,
42,19.0,High,Affluent,Media buyer,Embu,Low,106189.0,2024-11-10,,Electronics,USSD,61380.0,,Education,,,,
43,71.0,,Mass,"Journalist, magazine",Bomet,High,100878.0,2025-07-17,165038.0,School Fees,Internet Banking,,,Education,,,,
43,71.0,,Mass,"Journalist, magazine",Bomet,High,105918.0,2024-09-02,,,Branch,,,Education,,,,
44,,High,SME,"Engineer, communications",Thika,Low,,,,,,,502462.0,Education,,2023-03-11,2027-10-11,Pending
44,,High,SME,"Engineer, communications",Thika,Low,,,,,,,505892.0,Education,,2024-11-17,2027-01-06,Active
45,,High,Affluent,Firefighter,Narok,Medium,,,,,,,,Education,,,,
46,,,SME,Water engineer,Eldoret,High,100881.0,2025-12-09,,,,89813.0,500023.0,Education,7807.0,2024-05-31,2027-01-07,Lapsed
47,,Low,SME,Pensions consultant, ,Medium,,,,,,,,Education,,,,
48,61.0,,Mass,Network engineer,Kakamega,,101830.0,2025-09-20,238485.0,,USSD,68894.0,,Education,,,,
49,,Low, ,Environmental consultant,Nakuru,High,102292.0,2024-10-11,,Electronics,App,76250.0,,Education,,,,
49,,Low, ,Environmental consultant,Nakuru,High,104063.0,2025-04-30,89654.0,Electronics,USSD,470282.0,,Education,,,,
50,,High,SME,Information officer,Busia,Medium,,,,,,,,Education,,,,
51,,Low,Mass,Operational researcher,Busia,Low,102201.0,2026-02-01,186139.0,Bills,App,,,Education,,,,
51,,Low,Mass,Operational researcher,Busia,Low,102413.0,2024-07-15,,Bills,,482707.0,,Education,,,,
52,,,Affluent,"Therapist, music",Kwale,Medium,100345.0,2025-11-15,166086.0,Bills,App,,500536.0,Education,1274.0,2022-07-23,2028-06-12,
52,,,Affluent,"Therapist, music",Kwale,Medium,102842.0,2025-05-12,,Bills,,,500536.0,Education,1274.0,2022-07-23,2028-06-12,
53,,, ,Insurance broker,Meru,Low,,,,,,,,Education,,,,
54,,,SME,"Programmer, applications",Meru,High,103001.0,2025-09-01,118176.0,Groceries,,,502032.0,Education,,2023-04-15,2027-11-26,Pending
55,,High,SME,Dramatherapist,Malindi,Low,100227.0,2025-12-09,9483.0,Bills,,,501431.0,Education,,2024-10-06,2027-05-09,
56,,,Affluent,Airline pilot,Machakos,High,104145.0,2024-05-01,,School Fees,Branch,,503188.0,Education,11038.0,2024-07-19,2026-05-31,
56,,,Affluent,Airline pilot,Machakos,High,104145.0,2024-05-01,,School Fees,Branch,,504725.0,Education,,2024-11-01,2026-05-16,
56,,,Affluent,Airline pilot,Machakos,High,104145.0,2024-05-01,,School Fees,Branch,,504798.0,Education,,2024-12-28,2028-12-07,
57,70.0,High,Mass,Professor Emeritus,Garissa,Medium,104323.0,2024-09-25,,Travel,,720751.0,506019.0,Education,,2022-09-01,2026-08-30,Lapsed
58,,,SME,"Biochemist, clinical",Meru,Low,105937.0,2025-02-10,138596.0,,Internet Banking,437813.0,502214.0,Education,7894.0,2024-04-29,2026-08-24,Pending
59,,High,Affluent,Educational psychologist,Eldoret,High,101361.0,2024-06-10,,Bills,,243092.0,503921.0,Education,,2022-04-02,2028-10-15,Active
60,,,SME,"Engineer, building services",Nakuru,High,,,,,,,,Education,,,,
61,58.0,,Mass,"Teacher, primary school",Busia,High,104754.0,2024-04-18,202099.0,School Fees,USSD,358589.0,500124.0,Education,,2023-07-09,2028-05-18,Pending
61,58.0,,Mass,"Teacher, primary school",Busia,High,104754.0,2024-04-18,202099.0,School Fees,USSD,358589.0,500307.0,Education,,2022-07-09,2028-04-16,
61,58.0,,Mass,"Teacher, primary school",Busia,High,104754.0,2024-04-18,202099.0,School Fees,USSD,358589.0,506067.0,Education,,2024-02-25,2027-07-10,
61,58.0,,Mass,"Teacher, primary school",Busia,High,105336.0,2024-11-26,,Groceries,,676253.0,500124.0,Education,,2023-07-09,2028-05-18,Pending
61,58.0,,Mass,"Teacher, primary school",Busia,High,105336.0,2024-11-26,,Groceries,,676253.0,500307.0,Education,,2022-07-09,2028-04-16,
61,58.0,,Mass,"Teacher, primary school",Busia,High,105336.0,2024-11-26,,Groceries,,676253.0,506067.0,Education,,2024-02-25,2027-07-10,
62,,High, ,Chief Strategy Officer,Migori,,100240.0,2024-04-12,194867.0,,USSD,675475.0,502407.0,Education,,2024-01-22,2029-03-07,
62,,High, ,Chief Strategy Officer,Migori,,100240.0,2024-04-12,194867.0,,USSD,675475.0,503823.0,Education,,2023-10-20,2027-11-17,Lapsed
62,,High, ,Chief Strategy Officer,Migori,,100240.0,2024-04-12,194867.0,,USSD,675475.0,504731.0,Education,,2022-07-30,2027-01-17,
62,,High, ,Chief Strategy Officer,Migori,,100240.0,2024-04-12,194867.0,,USSD,675475.0,505145.0,Education,,2024-02-18,2028-11-23,
63,32.0,,Mass,"Horticulturist, amenity",Isiolo,High,101940.0,,,Electronics,,429910.0,,Education,,,,
64,,,Mass,"Programmer, multimedia",Meru,Medium,100811.0,2024-11-02,,Travel,Branch,376587.0,503754.0,Education,,2023-04-08,2028-05-27,
64,,,Mass,"Programmer, multimedia",Meru,Medium,100811.0,2024-11-02,,Travel,Branch,376587.0,505060.0,Education,6844.0,2023-08-18,2028-08-01,Active
65,26.0,High,Mass,Land/geomatics surveyor,Bungoma,Medium,,,,,,,,Education,,,,
66,,,Affluent,IT sales professional,Bomet,Medium,,,,,,,501853.0,Education,,2023-05-04,2028-07-21,
67,,,SME,International aid/development worker,Kisumu,High,103349.0,2024-07-11,,Electronics,,,504614.0,Education,,2022-06-02,2026-06-24,Pending
67,,,SME,International aid/development worker,Kisumu,High,103349.0,2024-07-11,,Electronics,,,506699.0,Education,,2023-10-26,2027-05-15,Lapsed
68,,, ,Furniture conservator/restorer,Siaya,Medium,,,,,,,504623.0,Education,6356.0,2023-06-09,2028-06-22,Pending
69,,,Affluent,Stage manager,Meru,High,102957.0,2025-11-30,,Bills,Internet Banking,88034.0,506935.0,Education,,2022-06-11,2027-08-30,Lapsed
69,,,Affluent,Stage manager,Meru,High,106346.0,2025-10-18,165646.0,Electronics,Branch,,506935.0,Education,,2022-06-11,2027-08-30,Lapsed
70,,,Mass,Customer service manager,Meru,High,100622.0,2024-07-07,123941.0,School Fees,,309045.0,503070.0,Education,,2024-08-12,2026-06-11,
70,,,Mass,Customer service manager,Meru,High,100765.0,2024-06-08,,,Internet Banking,708345.0,503070.0,Education,,2024-08-12,2026-06-11,
71,,High, ,Ranger/warden,Kwale,High,100636.0,2025-06-01,,Bills,Internet Banking,183483.0,506414.0,Education,11375.0,2022-05-22,2027-04-04,
71,,High, ,Ranger/warden,Kwale,High,102134.0,2025-03-28,,Groceries,,82832.0,506414.0,Education,11375.0,2022-05-22,2027-04-04,
71,,High, ,Ranger/warden,Kwale,High,103979.0,2025-01-15,,Travel,USSD,,506414.0,Education,11375.0,2022-05-22,2027-04-04,
72,,,Mass,Music therapist,Kajiado,,100807.0,2025-06-30,,,Internet Banking,616094.0,502400.0,Education,12612.0,2023-07-05,2028-07-03,Pending
72,,,Mass,Music therapist,Kajiado,,100807.0,2025-06-30,,,Internet Banking,616094.0,504130.0,Education,9837.0,2023-03-21,2028-03-07,Pending
72,,,Mass,Music therapist,Kajiado,,100807.0,2025-06-30,,,Internet Banking,616094.0,505030.0,Education,,2023-03-05,2029-02-21,Active
72,,,Mass,Music therapist,Kajiado,,100807.0,2025-06-30,,,Internet Banking,616094.0,505357.0,Education,10411.0,2025-02-04,2028-11-26,Pending
72,,,Mass,Music therapist,Kajiado,,100872.0,2024-12-28,,,App,527511.0,502400.0,Education,12612.0,2023-07-05,2028-07-03,Pending
72,,,Mass,Music therapist,Kajiado,,100872.0,2024-12-28,,,App,527511.0,504130.0,Education,9837.0,2023-03-21,2028-03-07,Pending
72,,,Mass,Music therapist,Kajiado,,100872.0,2024-12-28,,,App,527511.0,505030.0,Education,,2023-03-05,2029-02-21,Active
72,,,Mass,Music therapist,Kajiado,,100872.0,2024-12-28,,,App,527511.0,505357.0,Education,10411.0,2025-02-04,2028-11-26,Pending
72,,,Mass,Music therapist,Kajiado,,102775.0,2024-07-05,,,,350747.0,502400.0,Education,12612.0,2023-07-05,2028-07-03,Pending
72,,,Mass,Music therapist,Kajiado,,102775.0,2024-07-05,,,,350747.0,504130.0,Education,9837.0,2023-03-21,2028-03-07,Pending
72,,,Mass,Music therapist,Kajiado,,102775.0,2024-07-05,,,,350747.0,505030.0,Education,,2023-03-05,2029-02-21,Active
72,,,Mass,Music therapist,Kajiado,,102775.0,2024-07-05,,,,350747.0,505357.0,Education,10411.0,2025-02-04,2028-11-26,Pending
72,,,Mass,Music therapist,Kajiado,,106751.0,2024-03-22,938.0,Groceries,,,502400.0,Education,12612.0,2023-07-05,2028-07-03,Pending
72,,,Mass,Music therapist,Kajiado,,106751.0,2024-03-22,938.0,Groceries,,,504130.0,Education,9837.0,2023-03-21,2028-03-07,Pending
72,,,Mass,Music therapist,Kajiado,,106751.0,2024-03-22,938.0,Groceries,,,505030.0,Education,,2023-03-05,2029-02-21,Active
72,,,Mass,Music therapist,Kajiado,,106751.0,2024-03-22,938.0,Groceries,,,505357.0,Education,10411.0,2025-02-04,2028-11-26,Pending
73,,,Mass,Contracting civil engineer,Bungoma,Low,,,,,,,501727.0,Education,13494.0,2024-11-28,2029-03-13,
73,,,Mass,Contracting civil engineer,Bungoma,Low,,,,,,,502641.0,Education,1269.0,2023-07-23,2027-10-19,Active
74,58.0,Low,Mass,Adult nurse,Lamu,Medium,,,,,,,501888.0,Education,11599.0,2023-12-27,2026-05-26,
75,45.0,, ,"Designer, television/film set",Nakuru,,101964.0,2024-12-17,190700.0,Electronics,USSD,478404.0,500533.0,Education,,,2028-02-17,Lapsed
76,,,SME,Visual merchandiser,Bungoma,Medium,102559.0,2025-09-05,,,Branch,224261.0,503239.0,Education,,2025-03-03,2028-10-25,
77,,Low,Mass,"Engineer, control and instrumentation",Naivasha,,101489.0,2025-01-11,,Electronics,Branch,,506354.0,Education,,2023-06-01,2027-03-03,
77,,Low,Mass,"Engineer, control and instrumentation",Naivasha,,101518.0,2026-03-08,,School Fees,Internet Banking,324832.0,506354.0,Education,,2023-06-01,2027-03-03,
77,,Low,Mass,"Engineer, control and instrumentation",Naivasha,,104398.0,2025-10-19,,Travel,App,,506354.0,Education,,2023-06-01,2027-03-03,
78,50.0,,SME,Sales executive,Naivasha,Low,106249.0,2025-06-15,,Bills,App,,506475.0,Education,,2022-08-05,2027-03-13,Lapsed
79,65.0,Medium, ,Web designer,Kajiado,Low,105050.0,2024-11-10,122320.0,,Internet Banking,,,Education,,,,
79,65.0,Medium, ,Web designer,Kajiado,Low,106145.0,2024-12-28,,Bills,,,,Education,,,,
80,79.0,Medium, ,Public librarian,Voi,Low,,,,,,,505385.0,Education,,2024-12-22,2026-06-04,
81,,,Mass,Psychiatric nurse,Machakos,Low,,,,,,,,Education,,,,
82,,,SME,"Psychologist, forensic",Bomet,High,102177.0,2024-09-25,,Travel,Internet Banking,,,Education,,,,
83,,Medium,SME,Rural practice surveyor,Bungoma,Medium,101225.0,2025-02-24,,Electronics,,,,Education,,,,
83,,Medium,SME,Rural practice surveyor,Bungoma,Medium,101501.0,2025-07-19,,Groceries,Internet Banking,645870.0,,Education,,,,
83,,Medium,SME,Rural practice surveyor,Bungoma,Medium,101998.0,2025-08-01,253288.0,Electronics,USSD,687829.0,,Education,,,,
83,,Medium,SME,Rural practice surveyor,Bungoma,Medium,104551.0,2025-05-15,217550.0,School Fees,,600399.0,,Education,,,,
84,,High,Mass,"Accountant, chartered public finance", ,Medium,,,,,,,505762.0,Education,,2022-06-08,2028-05-08,Active
85,52.0,High,Affluent,"Engineer, civil (consulting)",Nairobi,Medium,,,,,,,500428.0,Education,,2022-07-17,2027-03-13,
85,52.0,High,Affluent,"Engineer, civil (consulting)",Nairobi,Medium,,,,,,,504895.0,Education,,2023-01-26,2026-05-13,Lapsed
86,,Low,Affluent,Insurance risk surveyor,Bomet,High,,,,,,,501958.0,Education,,2022-05-07,2028-09-25,Active
87,,, ,Clinical research associate,Meru,Medium,103831.0,2025-02-01,,,,,503671.0,Education,,2022-04-04,2026-04-13,Lapsed
87,,, ,Clinical research associate,Meru,Medium,103831.0,2025-02-01,,,,,505878.0,Education,,2023-11-14,2027-02-13,Lapsed
88,,, ,Archaeologist,Kilifi,Low,100048.0,2025-08-05,135897.0,Travel,App,,500222.0,Education,,2023-01-13,2027-10-10,Active
89,,Medium,Affluent,Publishing rights manager, ,Medium,,,,,,,501975.0,Education,6052.0,2022-08-04,2027-09-28,
90,22.0,,Affluent,Firefighter,Voi,Medium,,,,,,,500964.0,Education,,2024-07-27,2028-02-02,Lapsed
91,,,Affluent,Armed forces technical officer,Kitale,,104192.0,2024-06-28,,Travel,,,500014.0,Education,,2022-07-22,2027-09-10,Pending
92,,Medium,Mass,Further education lecturer,Thika,High,,,,,,,,Education,,,,
93,,Medium,Mass,Stage manager,Kericho,Low,102228.0,2025-08-15,226395.0,Groceries,App,573365.0,,Education,,,,
93,,Medium,Mass,Stage manager,Kericho,Low,105718.0,2025-03-28,,,App,,,Education,,,,
94,32.0,,Mass,Architectural technologist,Kajiado,Low,,,,,,,,Education,,,,
95,59.0,Medium,Mass,"Designer, furniture",Eldoret,Low,,,,,,,502182.0,Education,,2025-01-25,2027-02-20,Lapsed
96,,Low,Mass,Social worker,Bungoma,Medium,,,,,,,500076.0,Education,,2023-09-09,2027-06-04,Lapsed
96,,Low,Mass,Social worker,Bungoma,Medium,,,,,,,505644.0,Education,8845.0,2024-01-02,2028-07-15,Active
97,,Low,Mass,Operations geologist, ,Low,101496.0,2026-03-03,223.0,,USSD,233673.0,,Education,,,,
98,,, ,Medical technical officer,Narok,Low,106745.0,2025-10-16,50495.0,School Fees,Branch,64736.0,,Education,,,,
99,,,SME,Rural practice surveyor,Busia,,,,,,,,505975.0,Education,,2023-01-14,2027-09-22,Lapsed
100,69.0,Low, ,Financial manager,Nairobi,Medium,,,,,,,501528.0,Education,,2024-10-03,2029-02-10,Active
101,,Low,SME,"Designer, industrial/product",Siaya,,103961.0,2025-06-10,127270.0,Electronics,,47125.0,502561.0,Education,,2024-01-13,2026-11-09,
101,,Low,SME,"Designer, industrial/product",Siaya,,105369.0,2025-12-25,,Groceries,Branch,,502561.0,Education,,2024-01-13,2026-11-09,
102,,, ,Network engineer,Lamu,High,,,,,,,500613.0,Education,,2023-07-06,2028-05-12,Pending
102,,, ,Network engineer,Lamu,High,,,,,,,505712.0,Education,9469.0,2025-03-13,2028-03-09,Lapsed
103,,High, ,Printmaker,Wajir,Medium,101984.0,2025-07-27,201084.0,School Fees,App,,,Education,,,,
104,,Medium,Mass,Physiological scientist,Isiolo,,106198.0,2025-12-21,,Bills,Branch,27126.0,501066.0,Education,,2024-11-03,2027-08-08,
104,,Medium,Mass,Physiological scientist,Isiolo,,106198.0,2025-12-21,,Bills,Branch,27126.0,505460.0,Education,5555.0,2022-04-26,2027-01-07,Lapsed
105,,Low,Mass,"Designer, fashion/clothing",Machakos,High,,,,,,,502320.0,Education,,2023-05-04,2028-07-18,
106,,High,SME,Production engineer,Lamu,,106007.0,2024-09-11,,School Fees,,628818.0,500969.0,Education,,2022-10-01,,Active
107,46.0,,SME,Broadcast engineer,Busia,High,101592.0,2025-10-22,180546.0,Travel,Internet Banking,266638.0,501747.0,Education,,2022-03-31,2027-02-01,Pending
107,46.0,,SME,Broadcast engineer,Busia,High,101592.0,2025-10-22,180546.0,Travel,Internet Banking,266638.0,503775.0,Education,13708.0,2025-03-03,2026-09-19,
107,46.0,,SME,Broadcast engineer,Busia,High,101592.0,2025-10-22,180546.0,Travel,Internet Banking,266638.0,503956.0,Education,,2024-05-04,2027-12-25,
108,53.0,High,Mass,Chief Strategy Officer,Machakos,Low,100551.0,2025-08-08,,Travel,,,503213.0,Education,,2024-12-19,2028-05-06,
109,30.0,, ,"Engineer, communications",Busia,Low,104006.0,2024-04-30,84629.0,Groceries,Internet Banking,620023.0,,Education,,,,
110,,,SME,"Clinical scientist, histocompatibility and immunogenetics",Garissa,Medium,102062.0,2025-10-03,273409.0,Travel,,,501796.0,Education,9113.0,2023-12-16,2026-10-16,Pending
110,,,SME,"Clinical scientist, histocompatibility and immunogenetics",Garissa,Medium,102062.0,2025-10-03,273409.0,Travel,,,504423.0,Education,726.0,2024-06-17,2027-05-20,
110,,,SME,"Clinical scientist, histocompatibility and immunogenetics",Garissa,Medium,102062.0,2025-10-03,273409.0,Travel,,,505527.0,Education,,2025-01-23,2027-03-05,Lapsed
110,,,SME,"Clinical scientist, histocompatibility and immunogenetics",Garissa,Medium,103619.0,2024-08-24,,Groceries,App,670441.0,501796.0,Education,9113.0,2023-12-16,2026-10-16,Pending
110,,,SME,"Clinical scientist, histocompatibility and immunogenetics",Garissa,Medium,103619.0,2024-08-24,,Groceries,App,670441.0,504423.0,Education,726.0,2024-06-17,2027-05-20,
