transaction_id,customer_id,transaction_date,amount,category,channel,balance_after
100109,5362,2024-12-16,172015,Groceries,,105767.0
100110,1402,2026-01-30,,,,
100111,1709,2025-08-29,285503,School Fees,Branch,712702.0
100112,1413,2024-04-28,,,USSD,428023.0
100113,6431,2024-09-16,,,Internet Banking,
100114,3231,,75866,Bills,Branch,
100115,5850,2026-02-23,23951,School Fees,Branch,572815.0
100116,2503,2024-05-01,274414,,Branch,479880.0
100117,6057,2025-02-25,,Electronics,Internet Banking,551275.0
100118,4723,2024-08-30,,School Fees,Internet Banking,511397.0
100119,1265,2024-07-20,,,Branch,
100120,2260,2024-06-21,,,Branch,
100121,363,2025-11-01,251760,,App,
100122,2646,2025-09-27,,,Internet Banking,446266.0
100123,6277,2024-07-20,171596,Groceries,,153490.0
100124,1533,2025-11-09,,Bills,USSD,776858.0
100125,6421,,194733,,USSD,
100126,5385,2025-03-15,,Bills,USSD,181587.0
100127,6749,2024-10-24,,Travel,Branch,
100128,4753,2026-01-23,103475,,Internet Banking,
100129,1384,2024-04-30,,School Fees,App,
100130,667,2025-04-13,,Bills,App,14770.0
100131,6280,2025-11-05,,Electronics,USSD,198462.0
100132,2813,2024-12-24,,Electronics,,
100133,2476,2025-02-24,,,,
100134,6974,2026-01-08,200903,,,169303.0
100135,3101,2025-01-01,,School Fees,,714680.0
100136,6739,2025-11-27,,,App,496116.0
100137,3402,2024-04-23,299152,,App,
100138,5016,2024-11-07,,Travel,Internet Banking,
100139,3106,2026-01-31,,,App,
100140,2552,2024-10-20,,,Internet Banking,
100141,3900,2025-06-25,,,Internet Banking,451032.0
100142,2152,2024-07-30,,Electronics,Branch,458827.0
100143,6047,2025-01-11,258110,Travel,App,
100144,6638,2025-03-30,,,,182862.0
100145,388,2025-03-27,,,USSD,
100146,5865,2026-01-22,,,Internet Banking,
100147,6879,2024-11-20,20996,School Fees,USSD,599764.0
100148,5001,2024-12-02,137502,,,593236.0
100149,3162,2025-05-05,,,Internet Banking,517103.0
100150,2381,2024-10-09,,Bills,Internet Banking,
100151,377,2026-03-15,216786,Travel,App,
100152,4336,2026-02-13,,,Branch,107205.0
100153,6874,2024-12-10,,Electronics,USSD,148636.0
100154,4278,2025-05-24,,Travel,,
100155,1281,2025-05-27,223988,Bills,Branch,
100156,744,2026-03-05,,,Branch,
100157,4937,2024-05-14,184882,Bills,App,622772.0
100158,3487,2025-01-07,88714,,Internet Banking,
100159,5375,2025-02-09,,Electronics,,
100160,1069,2024-12-01,125091,Travel,Branch,169331.0
100161,1009,2025-02-15,,Travel,Branch,
100162,6972,2025-03-20,,Groceries,USSD,54448.0
100163,4694,2024-06-06,,Electronics,,
100164,5113,2025-12-05,,,,537305.0
100165,4297,2025-09-19,69551,Travel,Branch,378635.0
100166,343,2025-11-05,,School Fees,Internet Banking,
100167,3284,2025-01-15,118628,Groceries,,589571.0
100168,631,2024-06-01,253145,Electronics,,
100169,298,2025-05-10,,Bills,USSD,
100170,698,2025-01-11,,Electronics,USSD,136303.0
100171,5317,,52803,School Fees,USSD,771513.0
100172,5969,2026-02-03,197350,School Fees,Internet Banking,372025.0
100173,1506,2025-02-05,,Bills,Internet Banking,726422.0
100174,2761,2025-11-17,,Bills,,495513.0
100175,5026,2024-04-12,,Bills,Internet Banking,413857.0
100176,2826,2025-06-03,,,USSD,566056.0
100177,379,2025-04-14,91026,Groceries,Internet Banking,277816.0
100178,2796,2026-01-09,,,,
100179,706,2024-04-06,,School Fees,Branch,146139.0
100180,2415,2025-12-22,30264,Bills,App,
100181,5657,2025-04-02,,School Fees,Internet Banking,278005.0
100182,771,2025-09-23,68423,Groceries,Branch,
100183,4002,2025-01-18,,,,
100184,1095,2025-01-05,,,Branch,573119.0
100185,5148,2024-07-18,,Groceries,Branch,223802.0
100186,3465,2025-05-03,60430,,Branch,425968.0
100187,3595,2025-03-29,,,USSD,
100188,4445,2024-07-15,181060,School Fees,Internet Banking,
100189,5238,2025-03-05,,Bills,Branch,
100190,1232,2025-03-26,,,,
100191,1447,2025-10-21,,Electronics,App,356742.0
100192,4189,2025-09-11,,Travel,App,431240.0
100193,6285,2025-10-08,,School Fees,App,
100194,2403,2025-03-12,,,USSD,
100195,5643,2024-08-10,167493,Groceries,Internet Banking,
100196,1827,2024-10-24,,,App,
100197,3848,2024-08-31,291639,,USSD,
100198,1093,2025-10-03,,Bills,,670895.0
100199,4678,2025-04-25,,,,124628.0
100200,1721,2024-07-05,295569,Travel,USSD,
100201,883,2026-02-27,,School Fees,Internet Banking,182221.0
100202,124,2025-09-09,2886,Electronics,,378615.0
100203,3491,2024-08-21,,Electronics,Internet Banking,
100204,5854,2024-09-10,,Groceries,USSD,
100205,3595,2025-02-15,224198,Groceries,,
100206,5798,,,Groceries,,304833.0
100207,603,2025-09-17,,School Fees,Branch,
100208,3832,2024-05-17,,Electronics,,
100209,5461,2024-11-16,,Electronics,App,
100210,305,2024-06-06,74663,Groceries,Branch,
100211,6947,2025-11-02,,Groceries,USSD,598582.0
100212,3229,2025-01-27,,,App,394223.0
100213,3160,2025-10-08,,Bills,App,272857.0
100214,1252,2024-06-03,,,Internet Banking,62486.0
100215,937,2025-01-20,,Electronics,Branch,
100216,6509,2025-04-23,197242,Groceries,Internet Banking,756483.0
100217,3718,2025-12-04,,,Branch,226240.0
100218,2314,2024-05-30,,Groceries,Branch,
100219,2132,2025-12-21,,Groceries,App,
100220,3284,2025-10-28,3731,,,735438.0
100221,3290,2024-05-11,,Bills,Internet Banking,
100222,6997,2026-02-01,,Electronics,Internet Banking,
100223,4845,2025-04-03,,Electronics,App,
100224,2199,2024-07-17,84532,Electronics,,132999.0
100225,686,2025-07-11,,Bills,Branch,
100226,4236,2024-08-14,,School Fees,Branch,
100227,55,2025-12-09,9483,Bills,,
100228,3213,2024-08-29,265093,,Branch,679152.0
100229,4170,2025-06-13,,,Internet Banking,217250.0
100230,3207,2024-09-28,,Travel,Internet Banking,
100231,5093,2026-01-07,,,Internet Banking,281760.0
100232,2956,2025-06-17,173070,,App,
100233,6973,2024-10-04,72333,,Branch,
100234,1945,2024-08-26,,Bills,App,
100235,642,2025-06-18,128400,,Branch,787102.0
100236,4840,2025-08-27,,Travel,Internet Banking,
100237,6170,2025-11-01,,,Internet Banking,537593.0
100238,6579,2025-12-04,,,,
100239,5701,2024-06-12,36991,Groceries,Branch,719531.0
100240,62,2024-04-12,194867,,USSD,675475.0
100241,1224,2025-08-16,,Travel,App,
100242,2538,2024-10-08,,Bills,Internet Banking,394443.0
100243,493,2024-06-13,,School Fees,,213803.0
100244,6089,2025-12-04,,Electronics,,411635.0
100245,6823,2024-07-12,,Bills,Internet Banking,
100246,6612,2025-03-05,84761,Electronics,Branch,304185.0
100247,1140,2024-07-27,,,,107002.0
100248,5491,2025-01-23,,Travel,Branch,
100249,6795,2026-01-26,47312,Groceries,,
100250,1256,2024-11-04,,Groceries,App,690092.0
100251,2496,2025-10-22,250991,Bills,Branch,
100252,3286,2024-06-05,,,,
100253,2256,2024-05-09,,Travel,Internet Banking,274310.0
100254,1002,2025-12-07,,Travel,USSD,
100255,1126,2025-05-25,,Electronics,Internet Banking,
100256,3882,2025-12-26,,,Branch,374866.0
100257,4106,2024-07-04,,,Internet Banking,
100258,3545,2025-11-25,169559,,Internet Banking,292642.0
100259,1147,2026-01-16,,Travel,USSD,
100260,787,2025-08-03,62011,,Internet Banking,775173.0
100261,2052,2025-12-06,,School Fees,,345180.0
100262,6611,2024-06-24,,Groceries,App,22508.0
100263,259,2025-06-20,,,USSD,412861.0
100264,6865,2024-04-06,80601,School Fees,Branch,479775.0
100265,6030,2024-10-25,,,,
100266,3850,2026-02-08,,School Fees,Branch,
100267,6431,2024-04-17,27952,Electronics,USSD,773318.0
100268,6175,2025-07-09,,Travel,USSD,
100269,5808,2024-06-15,,Electronics,Internet Banking,
100270,4617,2026-01-24,,,USSD,
100271,716,2025-02-03,293576,Groceries,Branch,160116.0
100272,1644,2024-06-11,15400,,USSD,324503.0
100273,124,2025-11-25,,Electronics,App,310783.0
100274,1774,2025-03-22,51419,,Internet Banking,182278.0
100275,922,2026-02-14,,School Fees,USSD,
100276,2178,2024-04-22,147510,,App,652121.0
100277,6890,2024-11-30,,Electronics,Branch,
100278,6660,2025-02-15,,Travel,Branch,
100279,1504,2025-09-04,69557,Electronics,App,551362.0
100280,5852,2025-03-26,270196,Travel,App,
100281,6918,2025-10-02,,,USSD,
100282,5662,2024-11-22,,,Internet Banking,
100283,6044,2026-03-15,153962,School Fees,Internet Banking,53343.0
100284,1853,2024-08-11,,Travel,,684420.0
100285,2125,2025-10-14,221406,Travel,App,10610.0
100286,3255,2024-09-06,92148,,Branch,
100287,2414,2024-11-23,206084,,,
100288,4388,2025-01-14,194802,Travel,App,
100289,6090,2024-12-17,,,App,631610.0
100290,5834,2025-09-13,84091,,,
100291,157,2025-08-12,,,Internet Banking,624653.0
100292,1124,2025-08-05,,Travel,App,
100293,5004,2026-02-28,,Groceries,,
100294,5754,2025-02-18,,Bills,USSD,
100295,918,2025-02-08,,,USSD,681169.0
100296,5947,2024-09-22,226360,Groceries,Branch,
100297,6254,2025-01-06,,Electronics,Internet Banking,
100298,1703,2025-09-20,,Groceries,,473878.0
100299,1666,2024-12-23,,Groceries,Internet Banking,203956.0
100300,5390,2025-10-12,99457,Travel,Internet Banking,338037.0
100301,4234,2025-03-18,138086,Electronics,,
100302,5808,2024-10-27,,Electronics,App,602370.0
100303,2112,2025-07-29,172126,School Fees,USSD,786724.0
100304,3715,2024-04-16,151950,Travel,Branch,407163.0
100305,2555,2025-12-07,,Groceries,App,
100306,6984,2025-12-30,,School Fees,Internet Banking,
100307,5111,2025-11-27,,School Fees,Internet Banking,
100308,5820,2025-03-27,79364,,,
100309,3025,2025-10-11,146472,,USSD,
100310,4036,2025-11-27,257667,,USSD,
100311,2837,2024-03-30,,,Branch,775561.0
100312,2398,2024-12-25,,Groceries,App,
100313,2195,2026-03-01,,,Branch,
100314,5455,2024-07-11,,Electronics,Internet Banking,
100315,1556,2024-07-29,,Travel,Internet Banking,277228.0
100316,3626,2024-10-13,290121,Travel,USSD,745635.0
100317,2910,2025-12-31,290444,Groceries,Internet Banking,560457.0
100318,4503,2025-09-22,112836,,App,
100319,344,2024-06-08,220178,Travel,App,119319.0
100320,4748,2024-12-09,83464,Bills,Branch,219674.0
100321,1545,2025-12-01,12354,,App,
100322,3997,2025-01-22,1628,School Fees,Internet Banking,390283.0
100323,5970,2026-01-22,,School Fees,,
100324,6849,2025-02-15,97392,Bills,USSD,14600.0
100325,2819,2025-04-09,,Travel,USSD,496157.0
100326,5256,2025-09-11,201233,Electronics,USSD,
100327,39,2025-02-21,222945,,,
100328,5440,,,Bills,Internet Banking,
100329,4383,2024-09-28,268013,Bills,App,798765.0
100330,5064,2025-12-28,,,Internet Banking,
100331,5583,2025-07-08,,,Branch,
100332,4987,2025-08-30,192135,School Fees,Internet Banking,
100333,4758,2025-03-02,260134,Electronics,Internet Banking,64055.0
100334,3424,2025-12-24,,Electronics,USSD,504045.0
100335,1029,2025-08-03,99168,Travel,Internet Banking,500178.0
100336,236,2024-06-11,,Electronics,,577725.0
100337,6380,2024-07-30,,Travel,USSD,
100338,969,2025-06-24,132445,,Branch,260735.0
100339,6645,2024-09-01,,,,583127.0
100340,5225,2024-09-11,,Groceries,,238883.0
100341,1231,,,Bills,Branch,
100342,239,2024-10-10,,,App,375695.0
100343,1855,2024-04-22,,,Internet Banking,300403.0
100344,4925,2024-06-06,249741,,Internet Banking,26605.0
100345,52,2025-11-15,166086,Bills,App,
100346,2156,2024-05-16,,Travel,Branch,
100347,1381,2025-10-28,6601,Travel,App,
100348,1057,2024-04-15,130814,Travel,USSD,285085.0
100349,22,2025-10-28,,,USSD,
100350,307,2024-09-14,94142,Bills,USSD,326432.0
100351,4107,2026-02-19,234553,Travel,App,
100352,5759,2025-05-15,117663,Bills,,570093.0
100353,2610,2026-02-15,,,USSD,
100354,4294,2024-10-30,240038,,App,
100355,3601,2024-12-27,,Bills,USSD,
100356,1966,2024-08-05,,,USSD,
100357,5164,2024-08-08,,,Internet Banking,237286.0
100358,5305,2024-05-14,,School Fees,App,303826.0
100359,6533,2025-01-02,281250,,Internet Banking,456868.0
100360,4647,2025-09-03,,,Branch,
100361,3579,2024-10-09,,School Fees,USSD,50040.0
100362,5562,2025-02-25,,Groceries,USSD,
100363,2544,2025-01-07,282424,,Internet Banking,718479.0
100364,505,2024-12-21,16729,Groceries,App,776970.0
100365,137,2025-06-02,81895,,,102751.0
100366,5085,2024-06-30,,,,149595.0
100367,1303,2025-09-18,,,Branch,78995.0
100368,4015,2024-09-12,21884,,App,
100369,6308,2025-11-13,,Electronics,App,687504.0
100370,3615,2025-04-07,,Travel,Internet Banking,720599.0
100371,4948,2025-05-29,,,USSD,
100372,5143,2025-02-22,,,USSD,
100373,6072,2025-10-29,,Bills,App,675466.0
100374,4807,2024-05-07,73504,Electronics,,154320.0
100375,507,2024-12-11,,School Fees,Branch,
100376,4782,2025-12-25,17091,Bills,Internet Banking,678865.0
100377,1534,2026-02-02,225055,,App,565769.0
100378,3642,2025-02-12,,,Branch,169216.0
100379,4004,2024-08-28,170792,Electronics,App,
100380,708,2025-06-27,,,Branch,51866.0
100381,1624,2025-12-21,,School Fees,Branch,
100382,4238,2025-01-04,,,USSD,
100383,2329,2025-02-05,54681,,Internet Banking,137607.0
100384,3015,2025-07-28,,Groceries,Internet Banking,353213.0
100385,1708,2025-03-07,,Travel,USSD,
100386,302,2024-04-16,87562,,,
100387,2445,2025-09-09,,Travel,Internet Banking,
100388,318,2025-05-09,,Electronics,USSD,
100389,5907,2025-03-17,219287,School Fees,Branch,199754.0
100390,2956,2025-03-07,,Electronics,Branch,
100391,2928,2024-05-26,,School Fees,Internet Banking,592417.0
100392,858,2026-01-23,226906,School Fees,Branch,182797.0
100393,2721,2025-10-03,,,Internet Banking,652490.0
100394,3023,2025-12-01,135449,Travel,App,
100395,677,2025-12-31,19690,Groceries,USSD,119185.0
100396,379,2026-03-03,,Groceries,,
100397,217,2026-01-14,,Bills,Internet Banking,361182.0
100398,3701,2026-01-09,42228,,,
100399,2897,2025-10-24,,School Fees,USSD,533716.0
100400,6059,2024-06-24,,Travel,USSD,42484.0
100401,4964,2025-06-12,,School Fees,App,780513.0
100402,4530,2025-03-24,,,USSD,
100403,4852,2024-09-01,,,Branch,551100.0
100404,2990,2025-09-01,,Bills,,
100405,3831,2024-08-19,,,USSD,
100406,3657,2025-01-17,,Travel,USSD,
100407,5404,2025-07-17,,School Fees,,205793.0
100408,1507,2025-07-27,,Groceries,,
100409,6851,2024-05-16,,Groceries,App,173542.0
100410,1291,2024-10-05,111836,Bills,USSD,746447.0
100411,1940,2025-07-04,,,Branch,494105.0
100412,4695,2024-12-24,91464,,Branch,
100413,236,2025-07-03,,Groceries,App,
100414,1784,2025-09-09,,School Fees,USSD,
100415,4196,2026-01-05,2691,Bills,,
100416,2787,2024-10-25,,,Branch,
100417,6263,2025-01-31,,Electronics,USSD,125756.0
100418,1378,2025-12-16,,Bills,App,778381.0
100419,2756,2024-07-10,,Groceries,App,
100420,6232,2025-01-16,,Travel,,385716.0
100421,2084,2025-04-22,6557,Bills,App,
100422,4410,2024-09-20,,School Fees,App,
100423,4096,2024-07-21,,,App,
100424,4647,2025-07-30,,Bills,Branch,
100425,6571,2025-06-14,264511,Groceries,,
100426,4613,2024-04-11,79909,Bills,,721421.0
100427,6108,2026-03-19,80336,School Fees,,
100428,2701,2025-01-17,,School Fees,App,
100429,4105,2025-12-18,,Groceries,App,
100430,3550,2026-02-09,215273,,Branch,226743.0
100431,4153,2024-04-18,,School Fees,App,
100432,2331,2025-03-13,,Groceries,Branch,185385.0
100433,4557,2025-09-21,,Bills,,
100434,5479,2025-11-20,,Bills,Branch,520665.0
100435,3762,2025-07-19,43447,Electronics,USSD,
100436,2012,2025-06-04,,Groceries,Internet Banking,281972.0
100437,2642,2025-06-27,60285,Travel,App,
100438,5026,2025-06-03,,Groceries,,764409.0
100439,2113,2025-07-18,,Bills,Internet Banking,
100440,3501,2024-11-26,,,Internet Banking,653247.0
100441,4951,2025-10-10,87529,Bills,,201860.0
100442,6946,2025-10-27,,School Fees,Internet Banking,
100443,5988,2025-07-13,,Electronics,Branch,144400.0
100444,4232,2024-08-23,,Travel,,
100445,4858,2024-12-13,,,,579744.0
100446,1010,2025-01-21,,Electronics,Branch,
100447,1630,2024-10-31,,Groceries,USSD,22464.0
100448,3120,2025-03-22,,,USSD,609335.0
100449,6052,2024-07-04,50163,Groceries,Internet Banking,
100450,6756,2024-08-16,,Bills,,5313.0
100451,850,2026-03-18,290824,School Fees,Branch,493429.0
100452,6261,2026-03-09,,Travel,,
100453,6923,2024-12-12,59818,,Branch,665896.0
100454,2868,2025-08-08,,,USSD,
100455,2040,2024-05-05,,School Fees,USSD,
100456,3236,2026-03-01,,Travel,Internet Banking,
100457,479,2024-08-09,208719,,Branch,421593.0
100458,1311,2024-08-15,,Electronics,USSD,580589.0
100459,4632,2025-11-27,74304,,App,
100460,6638,2024-06-08,173292,Bills,USSD,514958.0
100461,6549,2024-10-27,,School Fees,,148049.0
100462,2144,2025-07-20,299630,Groceries,Branch,577979.0
100463,5617,2024-10-10,,,App,688739.0
100464,6398,2025-11-17,,Bills,USSD,799576.0
100465,414,2024-06-27,,Travel,USSD,321435.0
100466,1657,2024-06-04,126224,,Branch,
100467,2632,2025-04-28,90659,,App,42386.0
100468,3937,2024-08-04,,,Branch,
100469,1395,2025-11-10,177121,Bills,USSD,
100470,2624,2024-12-03,57237,Groceries,Internet Banking,
100471,2291,2024-08-29,6600,Groceries,Branch,
100472,639,2024-12-11,,Travel,USSD,83847.0
100473,3445,2024-06-29,,Bills,Branch,85627.0
100474,6183,2025-10-11,239419,School Fees,USSD,
100475,6017,2024-12-13,277939,Bills,Branch,569919.0
100476,353,2025-09-24,,,USSD,674619.0
100477,4522,2025-12-03,,Groceries,App,132649.0
100478,3149,2025-03-28,,,,
100479,4606,2026-01-19,101145,Travel,,228338.0
100480,3589,2026-01-24,172974,Electronics,Branch,317504.0
100481,140,2026-01-29,,Electronics,USSD,
100482,252,2024-05-28,,,,400831.0
100483,669,2024-10-27,,Bills,,
100484,3843,2024-05-09,,Groceries,Branch,61479.0
100485,317,2025-09-23,,Bills,Branch,
100486,4019,2024-05-08,176325,Travel,Branch,
100487,6564,2026-01-19,,School Fees,Internet Banking,
100488,2927,2024-10-25,,Electronics,App,469234.0
100489,6893,2025-02-25,,Bills,App,468285.0
100490,2010,2024-07-16,,Groceries,App,
100491,2946,2025-09-15,,,USSD,542227.0
100492,1053,2025-03-01,,,USSD,48938.0
100493,4637,2025-05-18,,,App,
100494,3564,2025-06-16,,Electronics,Branch,
100495,1124,2024-11-22,,Electronics,Internet Banking,
100496,1344,2025-09-19,,School Fees,App,
100497,570,2024-04-04,171283,Bills,Branch,576231.0
100498,4819,2025-08-26,,School Fees,,397463.0
100499,3722,2025-02-14,145798,Groceries,Internet Banking,
100500,3917,2024-11-12,254497,Groceries,USSD,
100501,1001,2025-01-22,298667,Bills,,
100502,2924,2024-04-25,193760,Electronics,,398822.0
100503,2237,2025-01-10,,Travel,,
100504,4546,2024-07-01,,School Fees,Branch,384697.0
100505,6238,,,,App,675582.0
100506,3926,2025-12-01,,Electronics,,615304.0
100507,3253,2025-11-25,296380,,App,
100508,3393,2025-03-31,,Groceries,,
100509,2331,2025-12-03,49842,,Branch,277542.0
100510,3393,2024-08-02,285779,Groceries,App,
100511,2618,2025-01-15,104772,Electronics,USSD,
100512,4121,2024-08-23,,Electronics,Internet Banking,
100513,5936,2026-03-07,,,,250333.0
100514,4356,2025-12-16,,Groceries,,
100515,2014,2024-07-30,,School Fees,Branch,456828.0
100516,1928,2024-08-24,,School Fees,Internet Banking,
100517,2545,2025-04-29,,Electronics,App,680086.0
100518,5333,2025-03-15,,Bills,,160664.0
100519,6259,2025-08-15,125427,Groceries,USSD,225283.0
100520,4548,2026-01-25,,Travel,USSD,
100521,4796,2025-11-18,261964,Groceries,Branch,
100522,6916,,187437,School Fees,,
100523,3720,2024-05-20,43104,School Fees,Branch,
100524,3674,2024-10-01,134966,Travel,Internet Banking,
100525,1552,2025-06-17,,School Fees,USSD,
100526,1683,2024-08-08,79820,Travel,USSD,
100527,385,2025-05-14,,School Fees,Branch,
100528,4709,2024-11-30,,,Internet Banking,
100529,5538,2025-07-02,34670,Travel,App,678716.0
100530,3037,2024-03-31,169128,Bills,Internet Banking,665456.0
100531,2267,2024-11-13,,Groceries,Branch,591884.0
100532,4653,2025-11-10,,School Fees,Branch,
100533,4446,2025-12-13,,Electronics,Internet Banking,102758.0
100534,390,2025-10-09,,Travel,Branch,279434.0
100535,6948,2024-09-10,,Travel,USSD,
100536,6521,,,Travel,Branch,583332.0
100537,2919,2026-01-29,,School Fees,App,
100538,2114,2025-02-13,,Groceries,USSD,
100539,1143,2024-08-10,245298,Electronics,,
100540,746,2024-05-14,,Travel,USSD,460325.0
100541,6152,2024-11-09,,,USSD,206951.0
100542,1731,2025-02-04,,Travel,USSD,651344.0
100543,5859,2026-02-27,,Travel,Internet Banking,
100544,4123,2024-08-17,,,,
100545,4386,2025-07-12,,Travel,App,82950.0
100546,4124,2024-04-09,,Electronics,USSD,352970.0
100547,3231,2025-05-31,,Travel,Internet Banking,
100548,3217,2024-03-22,284177,,Branch,
100549,2515,2024-05-28,,Electronics,,729274.0
100550,1770,2025-11-22,230539,Electronics,App,
100551,108,2025-08-08,,Travel,,
100552,4987,,,Bills,App,730455.0
100553,2487,2024-09-04,,Electronics,App,
100554,4299,2025-06-12,107301,Bills,Branch,129278.0
100555,777,,119609,Electronics,App,530546.0
100556,5086,2025-05-05,128662,,Branch,267042.0
100557,6445,2025-08-03,31068,,USSD,439824.0
100558,6022,2025-02-13,,School Fees,,
100559,1934,2024-05-06,106263,Travel,App,
100560,6047,2025-01-16,,School Fees,Branch,
100561,438,2025-07-03,,Electronics,USSD,
100562,1035,2025-02-06,,School Fees,,
100563,837,2024-07-27,,Travel,USSD,216654.0
100564,4703,2025-07-03,,,Internet Banking,378799.0
100565,642,2024-08-29,,Travel,,241433.0
100566,3175,2024-06-08,56736,,Branch,439963.0
